Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/Z X,/Z Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y
4.201284874831902e-07,0.003074941775873558,4.201284874831902e-07,3,4.201284874831902e-07,3,4.201284874831902e-07,0.04345883798443102,4.201284874831902e-07,0.04342255630585845,4.201284874831902e-07,0.04356306667602113,4.201284874831902e-07,0.04357174371198504,4.201284874831902e-07,0.04357456095371035
4.282236125839224e-07,0.003073702814001859,4.282236125839224e-07,3,4.282236125839224e-07,3,4.282236125839224e-07,0.04351155767979276,4.282236125839224e-07,0.04350921596826609,4.282236125839224e-07,0.04361677972957766,4.282236125839224e-07,0.0436289054555294,4.282236125839224e-07,0.04363307089982439
4.380470139563428e-07,0.003073139786586494,4.380470139563428e-07,3,4.380470139563428e-07,3,4.380470139563428e-07,0.04352077139378562,4.380470139563428e-07,0.04354411434236662,4.380470139563428e-07,0.04362058561012586,4.380470139563428e-07,0.04363294353998128,4.380470139563428e-07,0.043637333499142
4.503150533981133e-07,0.003072789441690299,4.503150533981133e-07,3,4.503150533981133e-07,3,4.503150533981133e-07,0.04352384073229933,4.503150533981133e-07,0.04356452473930579,4.503150533981133e-07,0.04361710614434963,4.503150533981133e-07,0.04362900573504504,4.503150533981133e-07,0.04363332169563902
4.644583952703348e-07,0.003072031435064521,4.644583952703348e-07,3,4.644583952703348e-07,3,4.644583952703348e-07,0.04352656908203792,4.644583952703348e-07,0.04359747564044958,4.644583952703348e-07,0.0436131916957438,4.644583952703348e-07,0.04362450421897709,4.644583952703348e-07,0.04362867888628161
4.774279188778651e-07,0.003071272729090492,4.774279188778651e-07,3,4.774279188778651e-07,3,4.774279188778651e-07,0.04352852931451821,4.774279188778651e-07,0.04359777921240327,4.774279188778651e-07,0.04360976939193215,4.774279188778651e-07,0.04362054622163165,4.774279188778651e-07,0.04362456039686263
4.90688979977399e-07,0.003070683709410655,4.90688979977399e-07,3,4.90688979977399e-07,3,4.90688979977399e-07,0.04353013228919236,4.90688979977399e-07,0.0435913843271597,4.90688979977399e-07,0.04360643455336217,4.90688979977399e-07,0.04361666987432515,4.90688979977399e-07,0.04362051672701733
5.100987865479904e-07,0.003070031087910203,5.100987865479904e-07,3,5.100987865479904e-07,3,5.100987865479904e-07,0.04353190157678822,5.100987865479904e-07,0.04359211819199776,5.100987865479904e-07,0.04360183724261336,5.100987865479904e-07,0.04361133047792661,5.100987865479904e-07,0.04361492071684388
5.300493932739952e-07,0.003069544934166115,5.300493932739952e-07,3,5.300493932739952e-07,3,5.300493932739952e-07,0.04353317344746819,5.300493932739952e-07,0.04358343694842458,5.300493932739952e-07,0.04359744824270634,5.300493932739952e-07,0.04360621366448037,5.300493932739952e-07,0.04360954819671722
5.5e-07,0.003069165822554896,5.5e-07,3,5.5e-07,3,5.5e-07,0.04353405472653971,5.5e-07,0.0435857522296031,5.5e-07,0.04359336586867446,5.5e-07,0.04360148169485035,5.5e-07,0.04360457267728869
5.508528200323068e-07,0.003066693043328839,5.508528200323068e-07,3,5.508528200323068e-07,2.488307980615912,5.508528200323068e-07,0.04353408333184442,5.508528200323068e-07,0.04344592748577868,5.508528200323068e-07,0.04359318471266162,5.508528200323068e-07,0.04360128755192422,5.508528200323068e-07,0.04360436709864105
5.520570971679066e-07,0.003063071789737116,5.520570971679066e-07,3,5.520570971679066e-07,1.765741699256065,5.520570971679066e-07,0.04353413841919317,5.520570971679066e-07,0.04354979105518562,5.520570971679066e-07,0.04359305636321396,5.520570971679066e-07,0.04360102925722337,5.520570971679066e-07,0.0436040933772588
5.535285485839533e-07,0.00305726952293282,5.535285485839533e-07,3,5.535285485839533e-07,0.8828708496280471,5.535285485839533e-07,0.04353420524106634,5.535285485839533e-07,0.04380498532266437,5.535285485839533e-07,0.0435927399262924,5.535285485839533e-07,0.04360072110760434,5.535285485839533e-07,0.04360376611274789
5.55e-07,0.003050890454098847,5.55e-07,3,5.55e-07,2.886579864025407e-14,5.55e-07,0.04353425801625226,5.55e-07,0.04388287640087288,5.55e-07,0.04359239367447208,5.55e-07,0.04360040588673073,5.55e-07,0.04360343080160449
5.553378460967569e-07,0.00304598832084346,5.553378460967569e-07,3,5.553378460967569e-07,0,5.553378460967569e-07,0.04353417909499633,5.553378460967569e-07,0.04398534619867544,5.553378460967569e-07,0.04359215376085748,5.553378460967569e-07,0.04360018015930481,5.553378460967569e-07,0.04360323435669688
5.558602212434468e-07,0.003038815028931391,5.558602212434468e-07,3,5.558602212434468e-07,0,5.558602212434468e-07,0.04353424027618321,5.558602212434468e-07,0.04400836089093196,5.558602212434468e-07,0.04359210486862442,5.558602212434468e-07,0.04360011786201014,5.558602212434468e-07,0.04360315415552269
5.563263945132806e-07,0.003032885722682069,5.563263945132806e-07,3,5.563263945132806e-07,0,5.563263945132806e-07,0.04353427696033992,5.563263945132806e-07,0.04387568161843005,5.563263945132806e-07,0.04359198218997375,5.563263945132806e-07,0.04360004537516617,5.563263945132806e-07,0.04360306959496825
5.572587410529482e-07,0.003022274755018841,5.572587410529482e-07,3,5.572587410529482e-07,0,5.572587410529482e-07,0.0435343273750687,5.572587410529482e-07,0.0435670105276775,5.572587410529482e-07,0.04359192178342539,5.572587410529482e-07,0.04359987650454952,5.572587410529482e-07,0.04360288165157774
5.591234341322835e-07,0.003009533684058906,5.591234341322835e-07,3,5.591234341322835e-07,0,5.591234341322835e-07,0.04353439365332282,5.591234341322835e-07,0.04319620624384866,5.591234341322835e-07,0.04359181783394907,5.591234341322835e-07,0.04359949795781927,5.591234341322835e-07,0.04360247332734186
5.61146615178601e-07,0.003004903952472282,5.61146615178601e-07,3,5.61146615178601e-07,0,5.61146615178601e-07,0.0435343736484036,5.61146615178601e-07,0.04323017885259651,5.61146615178601e-07,0.04359114523509425,5.61146615178601e-07,0.04359890898117906,5.61146615178601e-07,0.04360189464836781
5.635944483940197e-07,0.003005529277038149,5.635944483940197e-07,3,5.635944483940197e-07,0,5.635944483940197e-07,0.04353453241255727,5.635944483940197e-07,0.04339362519664056,5.635944483940197e-07,0.04359070981882771,5.635944483940197e-07,0.04359850048584937,5.635944483940197e-07,0.0436014352142407
