Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y,frequency (inv_wM3=5e-05) X,frequency (inv_wM3=5e-05) Y
2.964568121099483e-06,0.001364063991506431,2.537054510405511e-06,0.001625646560750925,2.861550342677349e-06,0.001753668207281773,2.788646639148874e-06,0.001780875642669199,2.891744397506596e-06,0.001827905250947044,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.964568121099483e-06,3.006261466024924,2.537054510405511e-06,0.009786579746151788,2.861550342677349e-06,3.001133308452122,2.788646639148874e-06,0.004149293338773651,2.891744397506596e-06,3.000824849051155,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.968939256093864e-06,0.00133786172049719,2.540798956830528e-06,0.001598249234641992,2.864959918003474e-06,0.001740828702453672,2.792317474347118e-06,0.001811358403886997,2.896634116281576e-06,0.001803080659068724,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.968939256093864e-06,3.005797584420562,2.540798956830528e-06,0.008723170776768733,2.864959918003474e-06,3.001106399630121,2.792317474347118e-06,0.00390033171190669,2.896634116281576e-06,3.000801916588084,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.973015941565106e-06,0.001324705330334317,2.544360251977537e-06,0.001576988944898179,2.868614386931594e-06,0.001721917859753979,2.796074465029742e-06,0.001835992444722609,2.900535317806232e-06,0.001805513735689626,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.973015941565106e-06,3.005395253274989,2.544360251977537e-06,0.00788067660153755,2.868614386931594e-06,3.001078648852972,2.796074465029742e-06,0.003681377541811495,2.900535317806232e-06,3.000784399745381,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.976774873709021e-06,0.001334304821345574,2.547721206333824e-06,0.001570587724244852,2.873485606082284e-06,0.001697456099859188,2.800765030948862e-06,0.00184468460480265,2.90446500953725e-06,0.00182543286443854,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.976774873709021e-06,3.005053850893853,2.547721206333824e-06,0.007214386808349437,2.873485606082284e-06,3.001043202963539,2.800765030948862e-06,0.003444700405521659,2.90446500953725e-06,3.000767028620654,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.980559462481591e-06,0.001357030163695391,2.551009426025251e-06,0.001580236512437933,2.877337348694606e-06,0.001697870944783858,2.805110398665109e-06,0.001839696722271317,2.908222142350641e-06,0.001856416369371797,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.980559462481591e-06,3.00473963777622,2.551009426025251e-06,0.006686536435032392,2.877337348694606e-06,3.00101619748198,2.805110398665109e-06,0.003255721137798841,2.908222142350641e-06,3.000751298125085,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.984875039595691e-06,0.00137606423188202,2.554915199562617e-06,0.001608941572681097,2.881024561738398e-06,0.001716554726153878,2.809092195436794e-06,0.001838890603913935,2.912121113232471e-06,0.001880053627861956,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.984875039595691e-06,3.004414954645929,2.554915199562617e-06,0.006176276332940189,2.881024561738398e-06,3.000991737157907,2.809092195436794e-06,0.003102786746200989,2.912121113232471e-06,3.000735096822643,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.990212599845513e-06,0.001372263552436856,2.558698475529065e-06,0.00163839108378819,2.884964540165158e-06,0.001749086421655987,2.812535434580934e-06,0.001840876402291217,2.917210043754231e-06,0.001887466981120248,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.990212599845513e-06,3.004058354800394,2.558698475529065e-06,0.005780998895846811,2.884964540165158e-06,3.000966316845542,2.812535434580934e-06,0.00298353917226105,2.917210043754231e-06,3.000715041559077,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.994555233740677e-06,0.001349287025752935,2.561848510945073e-06,0.001651563317730904,2.888433788425093e-06,0.00176993604443883,2.816009938952485e-06,0.001836916143493841,2.921570296071257e-06,0.001884862313085702,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.994555233740677e-06,3.003800508505341,2.561848510945073e-06,0.005530490562615465,2.888433788425093e-06,3.000944676084041,2.816009938952485e-06,0.002873426119563281,2.921570296071257e-06,3.000698419199075,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.997277616870338e-06,0.001333362637799695,2.566815016253177e-06,0.001644116136147693,2.893054241131295e-06,0.001774940037212105,2.821133925946346e-06,0.001810339618735863,2.925575326117107e-06,0.001889568202150751,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.997277616870338e-06,3.003651947294398,2.566815016253177e-06,0.005213454206213448,2.893054241131295e-06,3.000916955763703,2.821133925946346e-06,0.002726591932391575,2.925575326117107e-06,3.000683815186258,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3e-06,0.001324989602658576,2.570755405716707e-06,0.001619589740910183,2.897343459448798e-06,0.001764458307910201,2.822447783181303e-06,0.001800631518424382,2.929080671148787e-06,0.001898363732473466,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3e-06,3.003512440216074,2.570755405716707e-06,0.005021678337287947,2.897343459448798e-06,3.000894186418239,2.822447783181303e-06,0.002691593112165421,2.929080671148787e-06,3.000670969327919,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
