Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,freq (inv_wM3=5e-06) X,freq (inv_wM3=5e-06) Y,freq (inv_wM3=1e-05) X,freq (inv_wM3=1e-05) Y,freq (inv_wM3=1.5e-05) X,freq (inv_wM3=1.5e-05) Y,freq (inv_wM3=2e-05) X,freq (inv_wM3=2e-05) Y,freq (inv_wM3=2.5e-05) X,freq (inv_wM3=2.5e-05) Y,freq (inv_wM3=3e-05) X,freq (inv_wM3=3e-05) Y,freq (inv_wM3=3.5e-05) X,freq (inv_wM3=3.5e-05) Y,freq (inv_wM3=4e-05) X,freq (inv_wM3=4e-05) Y,freq (inv_wM3=4.5e-05) X,freq (inv_wM3=4.5e-05) Y,freq (inv_wM3=5e-05) X,freq (inv_wM3=5e-05) Y
1.311125923879475e-06,0.000967406702723554,1.653398358404003e-06,0.0009921801405660745,2.061876281934905e-06,0.0009936988453493559,2.586260928004622e-06,0.001073043786242289,2.538896510833289e-06,0.001061172567770939,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.311125923879475e-06,0.006720950617535968,1.653398358404003e-06,3.015903858468222,2.061876281934905e-06,0.2791671438535291,2.586260928004622e-06,-0.05794073074632657,2.538896510833289e-06,2.999134931311684,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.311898839228938e-06,0.0009545193365352244,1.654591805300126e-06,0.0009819114549718799,2.06246152016693e-06,0.000990353359297323,2.587995513567898e-06,0.001064836486486168,2.541567384887734e-06,0.001043988686588701,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.311898839228938e-06,0.006626854982156952,1.654591805300126e-06,3.027987703182268,2.06246152016693e-06,0.3939336022504318,2.587995513567898e-06,-0.07451060264281587,2.541567384887734e-06,2.999243709471825,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.313003608475769e-06,0.0009434249603883679,1.655968100452006e-06,0.0009804840054509181,2.06363199663098e-06,0.0009913490619732203,2.589216031350725e-06,0.001057520934414849,2.544249962947007e-06,0.001024846595375333,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.313003608475769e-06,0.00650556436167126,1.655968100452006e-06,3.026864785033835,2.06363199663098e-06,0.5884260121203533,2.589216031350725e-06,-0.08849182850939639,2.544249962947007e-06,2.999451335798609,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.313829866947699e-06,0.0009437522157948361,1.657105127524026e-06,0.0009926755121875228,2.06471391016343e-06,0.001001072010961446,2.590580203641078e-06,0.001047822424405691,2.546745383090416e-06,0.001009368216040486,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.313829866947699e-06,0.006425193803402105,1.657105127524026e-06,3.010037328843953,2.06471391016343e-06,0.7522978748818098,2.590580203641078e-06,-0.1023881000711975,2.546745383090416e-06,2.999661014999301,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.31491620571372e-06,0.0009653200897856659,1.658652666283246e-06,0.001040882446135219,2.066139065452879e-06,0.001032657477479645,2.592853827921525e-06,0.001028881345006635,2.549831144897608e-06,0.0009991673522926085,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.31491620571372e-06,0.006332667046517589,1.658652666283246e-06,2.939505310496381,2.066139065452879e-06,1.001417684387975,2.592853827921525e-06,-0.08464303035601588,2.549831144897608e-06,2.999875291101319,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.315969966571512e-06,0.00100447456417687,1.659851913147662e-06,0.001082404350529292,2.067651920716164e-06,0.001083925471326512,2.59489778246179e-06,0.001012575239459347,2.550472511397916e-06,0.001001900496927978,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.315969966571512e-06,0.006250734741451489,1.659851913147662e-06,2.822607090286425,2.067651920716164e-06,1.271065069834922,2.59489778246179e-06,0.01018361263400851,2.550472511397916e-06,2.999908359484983,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.316976397720384e-06,0.001037142414236905,1.661069698768531e-06,0.001103820361083665,2.068944449931464e-06,0.001117080029137746,2.597455943591365e-06,0.0009976793460969838,2.551755244398532e-06,0.001012654976210126,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.316976397720384e-06,0.006180228220585701,1.661069698768531e-06,2.632383955605237,2.068944449931464e-06,1.46242438548045,2.597455943591365e-06,0.2913887571515045,2.551755244398532e-06,2.99998880360879,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.318300225871504e-06,0.001046781859688529,1.662413669022151e-06,0.001094016111542097,2.070570482495151e-06,0.001125936617459709,2.600023248745292e-06,0.001003356598412538,2.553293606200623e-06,0.001036201355477175,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.318300225871504e-06,0.006100825824557805,1.662413669022151e-06,2.310827507710182,2.070570482495151e-06,1.652653537266321,2.600023248745292e-06,0.6306466381807952,2.553293606200623e-06,3.000070795067335,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.319586701524747e-06,0.001017741352533668,1.663680108714492e-06,0.001066070727848941,2.072145578524692e-06,0.001101756470746905,2.601866374166153e-06,0.001034226521424892,2.554813546573772e-06,0.001075163837163534,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.319586701524747e-06,0.00603201637782418,1.663680108714492e-06,1.971279637643977,2.072145578524692e-06,1.782707936558047,2.601866374166153e-06,0.8801676497057687,2.554813546573772e-06,3.000128047656529,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.320626431171219e-06,0.0009873479308657466,1.664477433032272e-06,0.001050699665918638,2.073024761582653e-06,0.001086240996377448,2.603745502080754e-06,0.001091366255758646,2.556619402828268e-06,0.001121899349939009,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.320626431171219e-06,0.005983635729266517,1.664477433032272e-06,1.782109945646574,2.073024761582653e-06,1.845921237164819,2.603745502080754e-06,1.153242455633671,2.556619402828268e-06,3.000167077549878,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
