/out (width_pun=5e-06) X,/out (width_pun=5e-06) Y,/out (width_pun=1e-05) X,/out (width_pun=1e-05) Y,/out (width_pun=1.5e-05) X,/out (width_pun=1.5e-05) Y,/out (width_pun=2e-05) X,/out (width_pun=2e-05) Y,/out (width_pun=2.5e-05) X,/out (width_pun=2.5e-05) Y,/out (width_pun=3e-05) X,/out (width_pun=3e-05) Y,/out (width_pun=3.5e-05) X,/out (width_pun=3.5e-05) Y,/out (width_pun=4e-05) X,/out (width_pun=4e-05) Y,/out (width_pun=4.5e-05) X,/out (width_pun=4.5e-05) Y,/out (width_pun=5e-05) X,/out (width_pun=5e-05) Y,/out (width_pun=5.5e-05) X,/out (width_pun=5.5e-05) Y,/out (width_pun=6e-05) X,/out (width_pun=6e-05) Y,/out (width_pun=6.5e-05) X,/out (width_pun=6.5e-05) Y,/out (width_pun=7e-05) X,/out (width_pun=7e-05) Y,/out (width_pun=7.5e-05) X,/out (width_pun=7.5e-05) Y,/out (width_pun=8e-05) X,/out (width_pun=8e-05) Y,/out (width_pun=8.5e-05) X,/out (width_pun=8.5e-05) Y,/out (width_pun=9e-05) X,/out (width_pun=9e-05) Y,/out (width_pun=9.5e-05) X,/out (width_pun=9.5e-05) Y,/out (width_pun=0.0001) X,/out (width_pun=0.0001) Y
1.500000000000001,2.405464823735561,1.500000000000001,2.053904295804744,1.500000000000001,1.800959199210868,1.500000000000001,1.602159117859926,1.500000000000001,1.438647403905295,1.500000000000001,1.300549298305247,1.500000000000001,1.181968048162106,1.500000000000001,1.079041711095881,1.500000000000001,0.9890533773559205,1.500000000000001,0.9099767002749138,1.500000000000001,0.840226478457914,1.500000000000001,0.7785153708742533,1.500000000000001,0.7237690514541107,1.500000000000001,0.6750745829406184,1.500000000000001,0.631647807712691,1.500000000000001,0.5928115336324402,1.500000000000001,0.5579797834732841,1.500000000000001,0.5266454731666552,1.500000000000001,0.4983701269302445,1.500000000000001,0.4727749410105815
1.560000000000001,2.324855582357408,1.560000000000001,1.953673680608246,1.560000000000001,1.692156704679229,1.560000000000001,1.489404992039336,1.560000000000001,1.32470944825018,1.560000000000001,1.187369895946867,1.560000000000001,1.070999694260141,1.560000000000001,0.9713784836710215,1.560000000000001,0.8854920540458452,1.560000000000001,0.8110553613209486,1.560000000000001,0.7462591691167145,1.560000000000001,0.6896286275391045,1.560000000000001,0.6399401068985163,1.560000000000001,0.5961687831127167,1.560000000000001,0.5574526175634281,1.560000000000001,0.5230653528823919,1.560000000000001,0.4923948603399573,1.560000000000001,0.4649250768082883,1.560000000000001,0.4402206798608596,1.560000000000001,0.4179140470856906
1.620000000000001,2.241797135073821,1.620000000000001,1.854108276450491,1.620000000000001,1.586134376600028,1.620000000000001,1.381282668423487,1.620000000000001,1.217155752770671,1.620000000000001,1.082232376360337,1.620000000000001,0.9695837281243982,1.620000000000001,0.87456514048923,1.620000000000001,0.7938108739637452,1.620000000000001,0.7247484038096315,1.620000000000001,0.6653446098366569,1.620000000000001,0.6139618625567985,1.620000000000001,0.5692680858292329,1.620000000000001,0.5301745541520744,1.620000000000001,0.4957891827172541,1.620000000000001,0.465379618221692,1.620000000000001,0.4383433726429953,1.620000000000001,0.4141834858159639,1.620000000000001,0.39248871236791,1.620000000000001,0.3729174508237951
1.680000000000001,2.157286001182649,1.680000000000001,1.756025773013705,1.680000000000001,1.483662720876959,1.680000000000001,1.278561049332054,1.680000000000001,1.116717308004329,1.680000000000001,0.9857390391405435,1.680000000000001,0.8780781030017433,1.680000000000001,0.7886072227761349,1.680000000000001,0.7135891769255288,1.680000000000001,0.65018280630902,1.680000000000001,0.5961777004879425,1.680000000000001,0.5498332951702435,1.680000000000001,0.5097698790566365,1.680000000000001,0.4748888078230545,1.680000000000001,0.4443116064446714,1.680000000000001,0.4173326825669847,1.680000000000001,0.3933824388594178,1.680000000000001,0.3719985030489311,1.680000000000001,0.3528033133263569,1.680000000000001,0.3354866606313155
1.740000000000001,2.072190134227425,1.740000000000001,1.66011048493186,1.740000000000001,1.385391192253207,1.740000000000001,1.181854478380497,1.740000000000001,1.023889533998426,1.740000000000001,0.8981469306337474,1.740000000000001,0.7963923054989526,1.740000000000001,0.7130019708893284,1.740000000000001,0.6439043446638847,1.740000000000001,0.5860578708043693,1.740000000000001,0.5371523687668147,1.740000000000001,0.495415711313104,1.740000000000001,0.4594783007122575,1.740000000000001,0.4282741598437904,1.740000000000001,0.400967533771423,1.740000000000001,0.3768980914219569,1.740000000000001,0.3555399043508763,1.740000000000001,0.336470662134796,1.740000000000001,0.3193484903352209,1.740000000000001,0.3038944133830732
1.800000000000001,1.987240799154695,1.800000000000001,1.566935423602428,1.800000000000001,1.29185258703071,1.800000000000001,1.091603268246785,1.800000000000001,0.9389019386014641,1.800000000000001,0.819359151692419,1.800000000000001,0.72403850065042,1.800000000000001,0.6468725142991679,1.800000000000001,0.5835454904494175,1.800000000000001,0.5309114135902594,1.800000000000001,0.4866424683077762,1.800000000000001,0.4489964095273016,1.800000000000001,0.4166553774696236,1.800000000000001,0.3886119133696178,1.800000000000001,0.3640875576960448,1.800000000000001,0.342474325101241,1.800000000000001,0.3232923482007223,1.800000000000001,0.3061589961415169,1.800000000000001,0.2907661735974825,1.800000000000001,0.2768634851484988
1.860000000000001,1.90304347624038,1.860000000000001,1.476978151673659,1.860000000000001,1.2034589375121,1.860000000000001,1.008055453421225,1.860000000000001,0.8617127179020199,1.860000000000001,0.7489677475804206,1.860000000000001,0.660243016926104,1.860000000000001,0.5891404503998596,1.860000000000001,0.5312181043307301,1.860000000000001,0.4833214489719915,1.860000000000001,0.443172219075684,1.860000000000001,0.4091001274494362,1.860000000000001,0.3798627833336815,1.860000000000001,0.3545229147891007,1.860000000000001,0.3323636691234233,1.860000000000001,0.3128295221100126,1.860000000000001,0.2954845725340395,1.860000000000001,0.2799827520215096,1.860000000000001,0.2660462854184337,1.860000000000001,0.2534499269604225
1.920000000000001,1.820095998453908,1.920000000000001,1.390630013970707,1.920000000000001,1.120493812642659,1.920000000000001,0.9312602725363202,1.920000000000001,0.7920361861022371,1.920000000000001,0.6863369427201474,1.920000000000001,0.6040791295412132,1.920000000000001,0.5386803819589696,1.920000000000001,0.4856887413045349,1.920000000000001,0.4420184386143533,1.920000000000001,0.4054858791032298,1.920000000000001,0.3745159178071025,1.920000000000001,0.3479514351318451,1.920000000000001,0.324927631766515,1.920000000000001,0.3047876603060057,1.920000000000001,0.2870250717791678,1.920000000000001,0.271243917859763,1.920000000000001,0.2571306538938365,1.920000000000001,0.2444340493698408,1.920000000000001,0.2329506136697456
1.980000000000001,1.738807050456509,1.980000000000001,1.308200040152137,1.980000000000001,1.043106619155293,1.980000000000001,0.8610798323170754,1.980000000000001,0.7293978648296129,1.980000000000001,0.630701313365121,1.980000000000001,0.5545838750768998,1.980000000000001,0.4944264029065075,1.980000000000001,0.4458618998397159,1.980000000000001,0.405925731963329,1.980000000000001,0.3725537633072177,1.980000000000001,0.3442750385408282,1.980000000000001,0.3200185850641961,1.980000000000001,0.298989128599199,1.980000000000001,0.2805853876124882,1.980000000000001,0.2643452343053958,1.980000000000001,0.2499081548483286,1.980000000000001,0.2369890690400646,1.980000000000001,0.2253597508373749,1.980000000000001,0.2148354267995671
2.040000000000001,1.659511909590738,2.040000000000001,1.229915649778793,2.040000000000001,0.9713136349060352,2.040000000000001,0.7972188834351022,2.040000000000001,0.6732028524356238,2.040000000000001,0.5812543709857068,2.040000000000001,0.5108396940321966,2.040000000000001,0.4554285605222473,2.040000000000001,0.4108056339973922,2.040000000000001,0.3741570829075427,2.040000000000001,0.3435479276960282,2.040000000000001,0.3176114560234925,2.040000000000001,0.2953587964613721,2.040000000000001,0.2760588133026345,2.040000000000001,0.2591603405516781,2.040000000000001,0.2442405881674605,2.040000000000001,0.2309701322446173,2.040000000000001,0.2190886601440941,2.040000000000001,0.2083878429552359,2.040000000000001,0.19869902718183
