Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y
1.783392124344097e-07,0.001412479055206174,1.906183208380842e-07,0.001616878123018496,1.788282818133731e-07,0.001770933720252713,2.092090492891489e-07,0.001869341701001708,2.353415574629128e-07,0.001911029794811285,2.426049429329663e-07,0.001828979735120164,2.731436589412338e-07,0.001876650781513875,2.647358218376675e-07,0.001999677547124686,3.062092721657764e-07,0.001894904319373988,2.772159249963381e-07,0.001994945904217994,1.783392124344097e-07,0.01642871782353205,1.906183208380842e-07,0.001467864155489601,1.788282818133731e-07,0.0001771945771498856,2.092090492891489e-07,4.47987783987129e-05,2.353415574629128e-07,1.850549805806762e-05,2.426049429329663e-07,1.011069718750039e-05,2.731436589412338e-07,6.463545773413163e-06,2.647358218376675e-07,4.625415760591277e-06,3.062092721657764e-07,3.542782111469614e-06,2.772159249963381e-07,2.889372371396422e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.812805698306071e-07,0.001401254722411323,1.921541735188459e-07,0.001635101921850548,1.806186384383517e-07,0.001787048990910126,2.125601943126158e-07,0.001859611933079271,2.386977739689585e-07,0.001904249469586254,2.460152156629072e-07,0.001840905391611143,2.774017848927942e-07,0.001912442064485835,2.703243606323726e-07,0.001991092812690145,3.104508420429461e-07,0.001874676294586911,2.804166899622128e-07,0.001997208614246805,1.812805698306071e-07,0.01642874309855206,1.921541735188459e-07,0.001466812777785458,1.806186384383517e-07,0.0001771991283310204,2.125601943126158e-07,4.481033281701971e-05,2.386977739689585e-07,1.851105887012552e-05,2.460152156629072e-07,1.011139925221888e-05,2.774017848927942e-07,6.462625694149167e-06,2.703243606323726e-07,4.624004453176194e-06,3.104508420429461e-07,3.54217824108256e-06,2.804166899622128e-07,2.888311777770813e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.853937436916982e-07,0.001373203462270744,1.938586846725179e-07,0.001654161222991902,1.827822143115341e-07,0.001798563477681786,2.16243714508317e-07,0.001843282963298489,2.423459430094833e-07,0.001894206999648508,2.493254780917401e-07,0.001859899097333364,2.805206343149704e-07,0.001942076052724681,2.749452250157916e-07,0.001961477400122391,3.149905338506117e-07,0.001882652916312617,2.841762022387787e-07,0.001992749200193413,1.853937436916982e-07,0.0164289823981184,1.938586846725179e-07,0.001467514032165772,1.827822143115341e-07,0.000177190457797296,2.16243714508317e-07,4.480469060481109e-05,2.423459430094833e-07,1.851012139091303e-05,2.493254780917401e-07,1.010832079118307e-05,2.805206343149704e-07,6.462399098918689e-06,2.749452250157916e-07,4.622950188191138e-06,3.149905338506117e-07,3.541628675586857e-06,2.841762022387787e-07,2.887039746535233e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.894458266711261e-07,0.001345682167610388,1.957752890835236e-07,0.00166981971695218,1.85663145809732e-07,0.00180131582355706,2.198484753987294e-07,0.001828379380603492,2.463474442718442e-07,0.001889629541051833,2.534997325138648e-07,0.00189749693461921,2.850171180499048e-07,0.001958604431817364,2.790820338239907e-07,0.00192415497589714,3.18328812502763e-07,0.001895641786438731,2.895532732665654e-07,0.001993364997177773,1.894458266711261e-07,0.0164162049663519,1.957752890835236e-07,0.001467860766013622,1.85663145809732e-07,0.0001771817777067799,2.198484753987294e-07,4.480306077409217e-05,2.463474442718442e-07,1.850186134339668e-05,2.534997325138648e-07,1.010883490527016e-05,2.850171180499048e-07,6.462713784571052e-06,2.790820338239907e-07,4.62212396750645e-06,3.18328812502763e-07,3.541721573842598e-06,2.895532732665654e-07,2.885510581437093e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.933568294216137e-07,0.001340647302196526,1.9811744975366e-07,0.001679772895283579,1.885207690809979e-07,0.001790722906676065,2.233646707575309e-07,0.001810271749287255,2.498391787443808e-07,0.001886275891806742,2.569353803724965e-07,0.001926246879407372,2.885226895605041e-07,0.001956957424171922,2.839268770890778e-07,0.001885229005719153,3.193441437423013e-07,0.001899956256105813,2.935077521253556e-07,0.00200508001131548,1.933568294216137e-07,0.01640962901827143,1.9811744975366e-07,0.001467921503748416,1.885207690809979e-07,0.0001771954005670775,2.233646707575309e-07,4.480186187240982e-05,2.498391787443808e-07,1.851260513567132e-05,2.569353803724965e-07,1.010797786077783e-05,2.885226895605041e-07,6.46119158891955e-06,2.839268770890778e-07,4.621295235242525e-06,3.193441437423013e-07,3.540239496827348e-06,2.935077521253556e-07,2.883790371595833e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.942047643486207e-07,0.001343577797357014,2.007620031471015e-07,0.001678421131706354,1.923482400220695e-07,0.001763918339246573,2.271811975444188e-07,0.001788357863280819,2.535259703414068e-07,0.00187134795666085,2.615587624455202e-07,0.001937311420049852,2.919777915473211e-07,0.00195154688716337,2.882190370979429e-07,0.001862905498395815,3.213748062213778e-07,0.001910842781451676,2.975902209602001e-07,0.002021527367516631,1.942047643486207e-07,0.01641689511565738,2.007620031471015e-07,0.001467470216561075,1.923482400220695e-07,0.0001771910026319759,2.271811975444188e-07,4.480685252443667e-05,2.535259703414068e-07,1.851029869678922e-05,2.615587624455202e-07,1.010817477522752e-05,2.919777915473211e-07,6.462579301137423e-06,2.882190370979429e-07,4.620559412290529e-06,3.213748062213778e-07,3.541627528763669e-06,2.975902209602001e-07,2.883552392476002e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.959006342026346e-07,0.00135211015386503,2.038223283056135e-07,0.00166058904578948,1.957614443126614e-07,0.001734263862022387,2.314340712019207e-07,0.001764089755411996,2.579653238346171e-07,0.001840967970859374,2.661242919906504e-07,0.001929587239028509,2.963089644660696e-07,0.001953275641317407,2.925730742914416e-07,0.00186917397417866,3.240638190588224e-07,0.001934922959485015,3.020692337256958e-07,0.002034673574731177,1.959006342026346e-07,0.01643393449141994,2.038223283056135e-07,0.001467992235533051,1.957614443126614e-07,0.00017718083366143,2.314340712019207e-07,4.480366005544254e-05,2.579653238346171e-07,1.850035971608514e-05,2.661242919906504e-07,1.010693285717614e-05,2.963089644660696e-07,6.458551368823963e-06,2.925730742914416e-07,4.619873658576293e-06,3.240638190588224e-07,3.540401109041935e-06,3.020692337256958e-07,2.882759340803635e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.966811216277048e-07,0.001357067628344711,2.07612129512071e-07,0.001623262511731846,1.993356175152421e-07,0.001708427526013403,2.350254390064794e-07,0.001756621217232922,2.625761772092044e-07,0.001809146994540676,2.699915869808905e-07,0.001927339632132008,2.999339454981731e-07,0.00196284255535443,2.958872349112378e-07,0.001882051066067088,3.266626713100638e-07,0.001962210708172156,3.075652879374318e-07,0.002036542159452242,1.966811216277048e-07,0.01646262700407469,2.07612129512071e-07,0.001469269326905627,1.993356175152421e-07,0.0001771923756379939,2.350254390064794e-07,4.466041328907559e-05,2.625761772092044e-07,1.851257584405663e-05,2.699915869808905e-07,1.010509574961438e-05,2.999339454981731e-07,6.460981831142136e-06,2.958872349112378e-07,4.62018555456453e-06,3.266626713100638e-07,3.540376376799541e-06,3.075652879374318e-07,2.881645338541971e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1.982420964778451e-07,0.001368806492695314,2.111763973119127e-07,0.001590649283448986,2.026961711796492e-07,0.001690894452527224,2.389331973136993e-07,0.001770344413908902,2.665359604440491e-07,0.001799101859810716,2.735374178344121e-07,0.001932379535220973,3.035099048702289e-07,0.001970845448170175,2.968495020673522e-07,0.0018863278542866,3.291611105242853e-07,0.001978026305880572,3.123442370690741e-07,0.002025192358719324,1.982420964778451e-07,0.01647621105763937,2.111763973119127e-07,0.00147118084335921,2.026961711796492e-07,0.0001772016889386164,2.389331973136993e-07,4.492691062332735e-05,2.665359604440491e-07,1.842562931295052e-05,2.735374178344121e-07,1.010614825107039e-05,3.035099048702289e-07,6.461735014764658e-06,2.968495020673522e-07,4.619155032732993e-06,3.291611105242853e-07,3.540323780289571e-06,3.123442370690741e-07,2.880804873867223e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.003814512576584e-07,0.001386190405646517,2.14498514495363e-07,0.001568968993432152,2.060186881934824e-07,0.001685320292624937,2.396674599264564e-07,0.001774422406432951,2.708048901590719e-07,0.001813777986063215,2.770254654236687e-07,0.001936818760101318,3.082826544811426e-07,0.001965985204149296,2.987740363795808e-07,0.001897131513273655,3.317560266360234e-07,0.001986155042857364,3.165739589981243e-07,0.002002354566545339,2.003814512576584e-07,0.016450929493671,2.14498514495363e-07,0.001466800567408732,2.060186881934824e-07,0.0001769444178017021,2.396674599264564e-07,4.497901734938517e-05,2.708048901590719e-07,1.85556659009337e-05,2.770254654236687e-07,1.010640134375169e-05,3.082826544811426e-07,6.458471734421986e-06,2.987740363795808e-07,4.618746704456823e-06,3.317560266360234e-07,3.540531150958019e-06,3.165739589981243e-07,2.880163144447439e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.023004748048058e-07,0.001399992514775381,2.179749186064189e-07,0.001568936948602088,2.097000956047636e-07,0.00169936085962449,2.411359851519708e-07,0.001784164507164108,2.738554456890875e-07,0.001833462814374793,2.814990188181698e-07,0.001926970812046834,3.122572898303785e-07,0.001942080252566582,3.014402998712603e-07,0.001922164550494191,3.346539638603983e-07,0.001987764658026467,3.218192538133673e-07,0.001958201998363623,2.023004748048058e-07,0.01646277157119918,2.179749186064189e-07,0.001430016584455718,2.097000956047636e-07,0.0001773632251173266,2.411359851519708e-07,4.487446030428722e-05,2.738554456890875e-07,1.86222396076907e-05,2.814990188181698e-07,1.01065078589894e-05,3.122572898303785e-07,6.463808458298792e-06,3.014402998712603e-07,4.619217266738489e-06,3.346539638603983e-07,3.53926111544856e-06,3.218192538133673e-07,2.879431036930269e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.046846792875992e-07,0.0014109627897752,2.208192908324566e-07,0.001582153530840045,2.103916446639168e-07,0.001703442436347416,2.41870247764728e-07,0.001790215582515979,2.773151264771849e-07,0.001867792602208849,2.864798345717295e-07,0.001889854622848165,3.163389113494966e-07,0.001906234396744644,3.038569601959409e-07,0.00194882596736414,3.385554940466962e-07,0.001982622641887143,3.269469445732081e-07,0.001915400264331164,2.046846792875992e-07,0.01647997883390299,2.208192908324566e-07,0.001459777304802211,2.103916446639168e-07,0.0001775335291754773,2.41870247764728e-07,4.493529136030493e-05,2.773151264771849e-07,1.838950007647237e-05,2.864798345717295e-07,1.010572274385008e-05,3.163389113494966e-07,6.456267814628912e-06,3.038569601959409e-07,4.617416904829059e-06,3.385554940466962e-07,3.540126352925452e-06,3.269469445732081e-07,2.878787928210773e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.079457624053506e-07,0.001413503763345763,2.237557013674377e-07,0.001607382378622914,2.117747427822233e-07,0.001712998422598473,2.433387729902423e-07,0.001805970154958892,2.803904698663321e-07,0.001896243992724851,2.907059344485289e-07,0.001853412595530469,3.204493280771344e-07,0.001872373660319352,3.062744948044525e-07,0.001965412650595547,3.435127136704875e-07,0.001982794231905584,3.321790570751196e-07,0.001886317598057033,2.079457624053506e-07,0.01653763563690836,2.237557013674377e-07,0.001463272755050397,2.117747427822233e-07,0.0001772810921530463,2.433387729902423e-07,4.484646108327006e-05,2.803904698663321e-07,1.841544073264168e-05,2.907059344485289e-07,1.010714307590883e-05,3.204493280771344e-07,6.461825808145503e-06,3.062744948044525e-07,4.61969080207998e-06,3.435127136704875e-07,3.538681949710024e-06,3.321790570751196e-07,2.878197805386496e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.108942234784135e-07,0.001403536981154382,2.264876619771467e-07,0.001638191529680659,2.124662918413765e-07,0.001718490270418535,2.45059344047924e-07,0.001827312460453954,2.838766522738789e-07,0.001909214692432526,2.94808927578593e-07,0.001828614694855933,3.247434492101062e-07,0.001848173545107714,3.087403734210628e-07,0.001973900615192824,3.473518193192806e-07,0.001993706783026794,3.367307138872054e-07,0.001889650388344407,2.108942234784135e-07,0.01663238550557333,2.264876619771467e-07,0.001463998732778436,2.124662918413765e-07,0.0001772996821764492,2.45059344047924e-07,4.446546458972889e-05,2.838766522738789e-07,1.853754403506252e-05,2.94808927578593e-07,1.00857261210644e-05,3.247434492101062e-07,6.447287048313644e-06,3.087403734210628e-07,4.617789437787224e-06,3.473518193192806e-07,3.538921634320426e-06,3.367307138872054e-07,2.87768733170793e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.148516222172196e-07,0.001377682789064325,2.288867258270666e-07,0.001663451943173638,2.13849389959683e-07,0.001732269538638766,2.467303172647007e-07,0.001845765188574539,2.875336947268963e-07,0.001905777087167695,2.986935326215473e-07,0.001830648147169573,3.288185073338083e-07,0.001852508080102148,3.115653066468858e-07,0.001975798443324213,3.512563891792398e-07,0.002008664444548668,3.406129926500233e-07,0.001904325973520822,2.148516222172196e-07,0.0168980819440752,2.288867258270666e-07,0.001436857061897977,2.13849389959683e-07,0.0001774162104331978,2.467303172647007e-07,4.465460598928696e-05,2.875336947268963e-07,1.848418065933783e-05,2.986935326215473e-07,1.003966769976081e-05,3.288185073338083e-07,6.410219205046634e-06,3.115653066468858e-07,4.617931942261378e-06,3.512563891792398e-07,3.538783106302552e-06,3.406129926500233e-07,2.877571390320559e-06,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
