Total; tran P (inv_wM3=5e-06) X,Total; tran P (inv_wM3=5e-06) Y,Total; tran P (inv_wM3=1e-05) X,Total; tran P (inv_wM3=1e-05) Y,Total; tran P (inv_wM3=1.5e-05) X,Total; tran P (inv_wM3=1.5e-05) Y,Total; tran P (inv_wM3=2e-05) X,Total; tran P (inv_wM3=2e-05) Y,Total; tran P (inv_wM3=2.5e-05) X,Total; tran P (inv_wM3=2.5e-05) Y,Total; tran P (inv_wM3=3e-05) X,Total; tran P (inv_wM3=3e-05) Y,Total; tran P (inv_wM3=3.5e-05) X,Total; tran P (inv_wM3=3.5e-05) Y,Total; tran P (inv_wM3=4e-05) X,Total; tran P (inv_wM3=4e-05) Y,Total; tran P (inv_wM3=4.5e-05) X,Total; tran P (inv_wM3=4.5e-05) Y,Total; tran P (inv_wM3=5e-05) X,Total; tran P (inv_wM3=5e-05) Y,frequency (inv_wM3=5e-06) X,frequency (inv_wM3=5e-06) Y,frequency (inv_wM3=1e-05) X,frequency (inv_wM3=1e-05) Y,frequency (inv_wM3=1.5e-05) X,frequency (inv_wM3=1.5e-05) Y,frequency (inv_wM3=2e-05) X,frequency (inv_wM3=2e-05) Y,frequency (inv_wM3=2.5e-05) X,frequency (inv_wM3=2.5e-05) Y,frequency (inv_wM3=3e-05) X,frequency (inv_wM3=3e-05) Y,frequency (inv_wM3=3.5e-05) X,frequency (inv_wM3=3.5e-05) Y,frequency (inv_wM3=4e-05) X,frequency (inv_wM3=4e-05) Y,frequency (inv_wM3=4.5e-05) X,frequency (inv_wM3=4.5e-05) Y,frequency (inv_wM3=5e-05) X,frequency (inv_wM3=5e-05) Y,/w_out (inv_wM3=5e-06) X,/w_out (inv_wM3=5e-06) Y,/w_out (inv_wM3=1e-05) X,/w_out (inv_wM3=1e-05) Y,/w_out (inv_wM3=1.5e-05) X,/w_out (inv_wM3=1.5e-05) Y,/w_out (inv_wM3=2e-05) X,/w_out (inv_wM3=2e-05) Y,/w_out (inv_wM3=2.5e-05) X,/w_out (inv_wM3=2.5e-05) Y,/w_out (inv_wM3=3e-05) X,/w_out (inv_wM3=3e-05) Y,/w_out (inv_wM3=3.5e-05) X,/w_out (inv_wM3=3.5e-05) Y,/w_out (inv_wM3=4e-05) X,/w_out (inv_wM3=4e-05) Y,/w_out (inv_wM3=4.5e-05) X,/w_out (inv_wM3=4.5e-05) Y,/w_out (inv_wM3=5e-05) X,/w_out (inv_wM3=5e-05) Y
1.925263921164426e-06,0.003357242727482989,1.739817215464501e-06,0.005231504897951621,1.846444399193366e-06,0.006822846730882173,1.784063865369342e-06,0.008148933590876086,1.910793724501054e-06,0.009262089042091358,2.124020538764587e-06,0.010320931327938,2.466286119431855e-06,0.01127577335335782,2.70618924019945e-06,0.01195554314422216,2.94434111000185e-06,0.01231401199986247,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.925263921164426e-06,2.865678474563406,1.739817215464501e-06,2.585938562230476,1.846444399193366e-06,0.3003918005981263,1.784063865369342e-06,0.2046490814213151,1.910793724501054e-06,0.9318998216344754,2.124020538764587e-06,0.115948332189129,2.466286119431855e-06,0.1665644297392451,2.70618924019945e-06,3.000276578119311,2.94434111000185e-06,2.999893277446696,  ,  
1.926968597469545e-06,0.003358645142559782,1.741223998315415e-06,0.005235521102253358,1.848138749121884e-06,0.006805283008201813,1.786161130669868e-06,0.008133638691491585,1.912251881085589e-06,0.009258684819827423,2.125968552709391e-06,0.01037947879018442,2.469749287431469e-06,0.01119435774628161,2.708936530549643e-06,0.01202518315670563,2.947062553758913e-06,0.01229008734027157,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.926968597469545e-06,2.896340976468644,1.741223998315415e-06,2.678326082216329,1.848138749121884e-06,0.3003647551269182,1.786161130669868e-06,0.2046277646045884,1.912251881085589e-06,1.117957979715476,2.125968552709391e-06,0.1136730983424254,2.469749287431469e-06,0.1309888189728153,2.708936530549643e-06,3.000269327736034,2.947062553758913e-06,3.000084995101365,  ,  
1.928739383687039e-06,0.003355803343667517,1.742917880914914e-06,0.005238016050387418,1.850173485973199e-06,0.00680277790723998,1.788041741798625e-06,0.008138999105639321,1.913987340090786e-06,0.009262862243297068,2.128481293636194e-06,0.01041112266335395,2.470635355455097e-06,0.01116558457503068,2.711275923754772e-06,0.01203674367014622,2.949513922307459e-06,0.01229343199368471,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.928739383687039e-06,2.916792378416531,1.742917880914914e-06,2.765192986071393,1.850173485973199e-06,0.300275880741981,1.788041741798625e-06,0.2046062914793138,1.913987340090786e-06,1.324380936756788,2.128481293636194e-06,0.1115824711867228,2.470635355455097e-06,0.125432117284051,2.711275923754772e-06,3.000263411149735,2.949513922307459e-06,3.000216032741426,  ,  
1.930170766359822e-06,0.003355159794689986,1.74427812005452e-06,0.005238646880195886,1.851744000563835e-06,0.006807715030499818,1.789805861717531e-06,0.008145869563703535,1.915468222565223e-06,0.009270721099034014,2.130518158195014e-06,0.0103924957528008,2.472407491502351e-06,0.01110687431010039,2.715439669442369e-06,0.01195428819907918,2.951261220018977e-06,0.01231381734512437,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.930170766359822e-06,2.927547949110994,1.74427812005452e-06,2.82007632200794,1.851744000563835e-06,0.3001066175621973,1.789805861717531e-06,0.2045901348227835,1.915468222565223e-06,1.485604055503479,2.130518158195014e-06,0.1101894671956032,2.472407491502351e-06,0.1162078896184732,2.715439669442369e-06,3.000253382585849,2.951261220018977e-06,3.000290547643643,  ,  
1.931691636222666e-06,0.003357899036632927,1.745472116860094e-06,0.005235529439686105,1.85359482625158e-06,0.006817118670271831,1.790370964038494e-06,0.008152195881560909,1.915878651022584e-06,0.009275956906755794,2.133311077419887e-06,0.0103229568714393,2.474633574503445e-06,0.01104515934171328,2.719153786261774e-06,0.01182544072273162,2.953353635721655e-06,0.01237189513073008,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.931691636222666e-06,2.935284998531454,1.745472116860094e-06,2.858563133108456,1.85359482625158e-06,0.2996406449869502,1.790370964038494e-06,0.2045846318141876,1.915878651022584e-06,1.530488597835828,2.133311077419887e-06,0.1086445829054742,2.474633574503445e-06,0.1074183543429906,2.719153786261774e-06,3.000244976717847,2.953353635721655e-06,3.000361453558824,  ,  
1.933417759582283e-06,0.003358370273605488,1.746856262285555e-06,0.005230161566053546,1.854992831941774e-06,0.006829068995584392,1.79150116868042e-06,0.008169408063441489,1.916699507937307e-06,0.00929093315141076,2.134101704629598e-06,0.01029878830937186,2.477315217296121e-06,0.01101444610146811,2.720066587276475e-06,0.01179453052948008,2.955110184624577e-06,0.01244388899136929,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.933417759582283e-06,2.940993312560151,1.746856262285555e-06,2.893162558779334,1.854992831941774e-06,0.2990130128136703,1.79150116868042e-06,0.2045739841066324,1.916699507937307e-06,1.622762272539449,2.134101704629598e-06,0.1082665737364842,2.477315217296121e-06,0.09966507229605856,2.720066587276475e-06,3.000242991121924,2.955110184624577e-06,3.000409299700546,  ,  
1.935223333201973e-06,0.003355361812914875,1.748609189257959e-06,0.005231705445759472,1.856196386987664e-06,0.006833626431487128,1.792625143316208e-06,0.008187135119531895,1.917835101339777e-06,0.0093178091711316,2.13568295904902e-06,0.01025272430897074,2.479492395447656e-06,0.0110162873274483,2.721892189305877e-06,0.01174229308810327,2.957248607805029e-06,0.01253849839513331,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.935223333201973e-06,2.944686745633469,1.748609189257959e-06,2.925174004532752,1.856196386987664e-06,0.2983486743347014,1.792625143316208e-06,0.2045646438287455,1.917835101339777e-06,1.749482692607484,2.13568295904902e-06,0.1075981465719366,2.479492395447656e-06,0.09501409793993866,2.721892189305877e-06,3.000239121228612,2.957248607805029e-06,3.000454033396505,  ,  
1.936632511719075e-06,0.003355625712615985,1.750012103049776e-06,0.005235658312278169,1.85775603137017e-06,0.006825464813268362,1.794350335767739e-06,0.008205498617308547,1.919593222736167e-06,0.009363374800004095,2.138025062370553e-06,0.01021163755074994,2.482007641157299e-06,0.01104443156347732,2.72439136551576e-06,0.01170598010594468,2.960487511015046e-06,0.01265358906125135,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.936632511719075e-06,2.946512463445031,1.750012103049776e-06,2.943903670836122,1.85775603137017e-06,0.2979414971989346,1.794350335767739e-06,0.204556162855602,1.919593222736167e-06,1.940646200700688,2.138025062370553e-06,0.1067734015825888,2.482007641157299e-06,0.09091816338229766,2.72439136551576e-06,3.000233913926979,2.960487511015046e-06,3.000501961463345,  ,  
1.93825746124708e-06,0.003358492195960747,1.751761164674259e-06,0.005238105702637762,1.859455566251042e-06,0.006807615301710132,1.797084575585979e-06,0.008184019298938215,1.921978923027315e-06,0.009392480502582528,2.140025539461685e-06,0.01020827020392216,2.483970328576956e-06,0.0111037145663233,2.726753462625941e-06,0.01170288311289478,2.963110576435717e-06,0.01269696499755323,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.93825746124708e-06,2.947895730992008,1.751761164674259e-06,2.961100977268989,1.859455566251042e-06,0.2991400209722075,1.797084575585979e-06,0.2045410452631486,1.921978923027315e-06,2.178281539918408,2.140025539461685e-06,0.1062041458762923,2.483970328576956e-06,0.08834512583331522,2.726753462625941e-06,3.000229143861356,2.963110576435717e-06,3.000525219104444,  ,  
1.940027261122753e-06,0.003357586733713761,1.753079134533414e-06,0.005238496211261445,1.861427540103239e-06,0.006801661734749871,1.797631104233826e-06,0.008173308894808506,1.924293572793637e-06,0.009369775654245032,2.141971069183189e-06,0.01021612439678143,2.485566626674197e-06,0.01116631767776322,2.729109890513196e-06,0.01171698241769197,2.967017993355686e-06,0.01266507204110325,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.940027261122753e-06,2.948823676194898,1.753079134533414e-06,2.970481112061579,1.861427540103239e-06,0.3060383065178918,1.797631104233826e-06,0.2045395093263722,1.924293572793637e-06,2.364799171429629,2.141971069183189e-06,0.1057450089695472,2.485566626674197e-06,0.08657100973025042,2.729109890513196e-06,3.000224521001462,2.967017993355686e-06,3.000543972080442,  ,  
1.941654393339643e-06,0.003355045802236626,1.754282910304716e-06,0.005235067315524171,1.863030732373321e-06,0.006807253908016064,1.798724161529519e-06,0.008151848843584497,1.926326056152323e-06,0.009322201328835754,2.142600492005526e-06,0.01022284920164686,2.487462637428319e-06,0.01123188860743169,2.730618891979724e-06,0.01174932384011562,2.971041201503037e-06,0.01253715378208401,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.941654393339643e-06,2.949336712429254,1.754282910304716e-06,2.976957721659595,1.863030732373321e-06,0.3228612148910806,1.798724161529519e-06,0.2045317889018104,1.926326056152323e-06,2.495162277356579,2.142600492005526e-06,0.1056141233457646,2.487462637428319e-06,0.08497100664353642,2.730618891979724e-06,3.000221511921368,2.971041201503037e-06,3.000547117713662,  ,  
1.943069432863032e-06,0.003356159808783523,1.755692330242049e-06,0.005229877605006446,1.864706952015682e-06,0.006813205348211647,1.800637953988946e-06,0.00813351924439403,1.926983015203174e-06,0.009304557350139112,2.1438593376502e-06,0.01024702539225017,2.489983096446253e-06,0.01128071902307279,2.732143214330088e-06,0.01179829993901051,2.972157357876572e-06,0.01249455405360608,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.943069432863032e-06,2.949613863888564,1.755692330242049e-06,2.982633487034311,1.864706952015682e-06,0.3638896919711125,1.800637953988946e-06,0.2045028082579305,1.926983015203174e-06,2.531207507052425,2.1438593376502e-06,0.1053725760056285,2.489983096446253e-06,0.08328523313699018,2.732143214330088e-06,3.00021864360549,2.972157357876572e-06,3.000545759230574,  ,  
1.944780696670991e-06,0.003358769719109982,1.75739956566034e-06,0.005231892782263831,1.865825636939688e-06,0.006822044426534245,1.802208782999356e-06,0.008137250402086653,1.928296933304878e-06,0.009274718643820326,2.145042727410069e-06,0.01027946849404352,2.492227326492069e-06,0.01127578946260176,2.734538921338903e-06,0.0118974565383326,2.974389670623644e-06,0.0124133176327869,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.944780696670991e-06,2.949818261166165,1.75739956566034e-06,2.987474044319735,1.865825636939688e-06,0.4108731846636047,1.802208782999356e-06,0.2044626049995223,1.928296933304878e-06,2.595664578702193,2.145042727410069e-06,0.1051687224459277,2.492227326492069e-06,0.08206671143624852,2.734538921338903e-06,3.00021314113797,2.974389670623644e-06,3.000541754719046,  ,  
1.946540622760329e-06,0.003356822207115289,1.758800505480678e-06,0.005235785994962178,1.866984698194922e-06,0.006831522352179421,1.803845986071439e-06,0.008140048971323194,1.930229810391745e-06,0.009258141369255055,2.147159531172751e-06,0.01034957400653234,2.49568978206164e-06,0.01119439570665908,2.736924230390162e-06,0.01198229793216336,2.976790882312502e-06,0.01234083651240081,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1.946540622760329e-06,2.949934143893887,1.758800505480678e-06,2.990219706520346,1.866984698194922e-06,0.4785386384012705,1.803845986071439e-06,0.2043782093360774,1.930229810391745e-06,2.673925527987786,2.147159531172751e-06,0.1048522834335618,2.49568978206164e-06,0.08053059824087319,2.736924230390162e-06,3.00020802169414,2.976790882312502e-06,3.000535231117415,  ,  
