Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y,/Z X,/Z Y
2.413207575324547e-06,0.002928441261442734,2.413207575324547e-06,0,2.413207575324547e-06,0,2.413207575324547e-06,0.02368924506803294,2.413207575324547e-06,2.996595885054167,2.413207575324547e-06,2.996198205344602,2.413207575324547e-06,2.99502046444463,2.413207575324547e-06,0.02892032821739775
2.415948230718196e-06,0.002889022638045006,2.415948230718196e-06,0,2.415948230718196e-06,0,2.415948230718196e-06,0.02580475706970956,2.415948230718196e-06,2.996831012455118,2.415948230718196e-06,2.996545085781462,2.415948230718196e-06,2.995582506757693,2.415948230718196e-06,0.02820058628015167
2.418156241082424e-06,0.002875816674729262,2.418156241082424e-06,0,2.418156241082424e-06,0,2.418156241082424e-06,0.02602969502027475,2.418156241082424e-06,2.996905931450167,2.418156241082424e-06,2.996841200813888,2.418156241082424e-06,2.996023244582127,2.418156241082424e-06,0.02766773466730266
2.418945716164161e-06,0.002875356814812199,2.418945716164161e-06,0,2.418945716164161e-06,0,2.418945716164161e-06,0.02562445218631301,2.418945716164161e-06,2.996826574194708,2.418945716164161e-06,2.996974395784839,2.418945716164161e-06,2.996202544180814,2.418945716164161e-06,0.0274104816718019
2.420524666327634e-06,0.002879007222591173,2.420524666327634e-06,0,2.420524666327634e-06,0,2.420524666327634e-06,0.0244101997145142,2.420524666327634e-06,2.996674109112033,2.420524666327634e-06,2.997267197867728,2.420524666327634e-06,2.996587632592699,2.420524666327634e-06,0.027017714997166
2.42261542082388e-06,0.002895120795818276,2.42261542082388e-06,0,2.42261542082388e-06,0,2.42261542082388e-06,0.02200237835103946,2.42261542082388e-06,2.996304886570014,2.42261542082388e-06,2.997662231206698,2.42261542082388e-06,2.997098811994703,2.42261542082388e-06,0.02682167446120755
2.424688759863791e-06,0.002927849714292199,2.424688759863791e-06,0,2.424688759863791e-06,0,2.424688759863791e-06,0.01731866972552824,2.424688759863791e-06,2.995201018701505,2.424688759863791e-06,2.998014287278619,2.424688759863791e-06,2.997552693065452,2.424688759863791e-06,0.02674133402563353
2.426953295830655e-06,0.002969147578067734,2.426953295830655e-06,0,2.426953295830655e-06,0,2.426953295830655e-06,0.01030630903339165,2.426953295830655e-06,2.993534132719646,2.426953295830655e-06,2.998334719562626,2.426953295830655e-06,2.997956232181438,2.426953295830655e-06,0.02625217553446411
2.429730522873175e-06,0.003009515133009235,2.429730522873175e-06,0,2.429730522873175e-06,0,2.429730522873175e-06,0.00278027156281595,2.429730522873175e-06,2.991935017593562,2.429730522873175e-06,2.998653692473893,2.429730522873175e-06,2.9983563620905,2.429730522873175e-06,0.0251409002210926
2.432291710801066e-06,0.003028328925289857,2.432291710801066e-06,0,2.432291710801066e-06,0,2.432291710801066e-06,-0.002061386909788832,2.432291710801066e-06,2.990797082505212,2.432291710801066e-06,2.99888918830569,2.432291710801066e-06,2.998667994729129,2.432291710801066e-06,0.02425470202690768
