Total; tran P (inv_lM0=8e-07) X,Total; tran P (inv_lM0=8e-07) Y,Total; tran P (inv_lM0=1.6e-06) X,Total; tran P (inv_lM0=1.6e-06) Y,Total; tran P (inv_lM0=2.4e-06) X,Total; tran P (inv_lM0=2.4e-06) Y,Total; tran P (inv_lM0=3.2e-06) X,Total; tran P (inv_lM0=3.2e-06) Y,Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=4.8e-06) X,Total; tran P (inv_lM0=4.8e-06) Y,Total; tran P (inv_lM0=5.6e-06) X,Total; tran P (inv_lM0=5.6e-06) Y,Total; tran P (inv_lM0=6.4e-06) X,Total; tran P (inv_lM0=6.4e-06) Y,Total; tran P (inv_lM0=7.2e-06) X,Total; tran P (inv_lM0=7.2e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,/w_out (inv_lM0=8e-07) X,/w_out (inv_lM0=8e-07) Y,/w_out (inv_lM0=1.6e-06) X,/w_out (inv_lM0=1.6e-06) Y,/w_out (inv_lM0=2.4e-06) X,/w_out (inv_lM0=2.4e-06) Y,/w_out (inv_lM0=3.2e-06) X,/w_out (inv_lM0=3.2e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=4.8e-06) X,/w_out (inv_lM0=4.8e-06) Y,/w_out (inv_lM0=5.6e-06) X,/w_out (inv_lM0=5.6e-06) Y,/w_out (inv_lM0=6.4e-06) X,/w_out (inv_lM0=6.4e-06) Y,/w_out (inv_lM0=7.2e-06) X,/w_out (inv_lM0=7.2e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,frequency (inv_lM0=8e-07) X,frequency (inv_lM0=8e-07) Y,frequency (inv_lM0=1.6e-06) X,frequency (inv_lM0=1.6e-06) Y,frequency (inv_lM0=2.4e-06) X,frequency (inv_lM0=2.4e-06) Y,frequency (inv_lM0=3.2e-06) X,frequency (inv_lM0=3.2e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=4.8e-06) X,frequency (inv_lM0=4.8e-06) Y,frequency (inv_lM0=5.6e-06) X,frequency (inv_lM0=5.6e-06) Y,frequency (inv_lM0=6.4e-06) X,frequency (inv_lM0=6.4e-06) Y,frequency (inv_lM0=7.2e-06) X,frequency (inv_lM0=7.2e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y
3.796308349960928e-07,0.003357289444508382,3.455982489034638e-07,0.002858100528022624,3.601070162871679e-07,0.00250907055546056,3.972745881948577e-07,0.002186894435127277,4.516019596322884e-07,0.002029052064715828,5.288445698794034e-07,0.001853087800836603,5.591640487893234e-07,0.001693571148320291,6.353765331583134e-07,0.001576370978454745,6.786750727679017e-07,0.001460143645492395,7.655298376293242e-07,0.001356399540063312,3.796308349960928e-07,0.7888749050131834,3.455982489034638e-07,0.4608150491130337,3.601070162871679e-07,2.619922829124596,3.972745881948577e-07,3.002946545735177,4.516019596322884e-07,3.004951489966262,5.288445698794034e-07,3.004976192076227,5.591640487893234e-07,2.817960234971649,6.353765331583134e-07,2.661485376298199,6.786750727679017e-07,0.1702323487958295,7.655298376293242e-07,0.2287535959608931,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.812188636802783e-07,0.003354973993574836,3.471894699283893e-07,0.002840500708300268,3.618617627775047e-07,0.002506775111464123,3.991850328651666e-07,0.002209581833796159,4.54574932183873e-07,0.002002483495105365,5.324919847074134e-07,0.001833853801382861,5.621130785061877e-07,0.001665950759780885,6.385915599597575e-07,0.001579207590648424,6.826002026300909e-07,0.001433272244505049,7.666108665678049e-07,0.00134966999659256,3.812188636802783e-07,0.7888504509931797,3.471894699283893e-07,0.4608360397900806,3.618617627775047e-07,2.273148681011647,3.991850328651666e-07,3.00280494960505,4.54574932183873e-07,3.004586030132367,5.324919847074134e-07,3.004570525452727,5.621130785061877e-07,2.880189475140585,6.385915599597575e-07,2.75690570165402,6.826002026300909e-07,0.4157784895173125,7.666108665678049e-07,0.2914087179106845,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.826407589274115e-07,0.00335637803459879,3.484766382025448e-07,0.002831830248766386,3.636214657914945e-07,0.002483919149449202,4.01085911808587e-07,0.002236293027692097,4.567157976715878e-07,0.001976825978650428,5.351369506387111e-07,0.001804920661848705,5.648970795829265e-07,0.001646968492508291,6.422195182048592e-07,0.001558805881907731,6.864530607514785e-07,0.001416556326418279,7.687729244447661e-07,0.001336384692235834,3.826407589274115e-07,0.788837477634348,3.484766382025448e-07,0.4608380755899123,3.636214657914945e-07,1.839165659471045,4.01085911808587e-07,3.002673391593232,4.567157976715878e-07,3.004341977624612,5.351369506387111e-07,3.004303421264003,5.648970795829265e-07,2.922861717216689,6.422195182048592e-07,2.84135818909317,6.864530607514785e-07,0.7884168296982794,7.687729244447661e-07,0.4616222585182826,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.843442021496384e-07,0.003358790310943057,3.497937219482032e-07,0.002838422874013119,3.651308107459652e-07,0.002465469625777272,4.02786457247501e-07,0.00224331263443492,4.588739037499803e-07,0.001969140285385772,5.376846388613108e-07,0.001792146490385738,5.678039567363165e-07,0.001653257515909671,6.455591508080414e-07,0.001532143539520448,6.898648413622133e-07,0.001424783988842196,7.722374456673963e-07,0.001324847098953543,3.843442021496384e-07,0.7888331240877369,3.497937219482032e-07,0.4607959748259716,3.651308107459652e-07,1.451566931992568,4.02786457247501e-07,3.002562937313346,4.588739037499803e-07,3.004112823456391,5.376846388613108e-07,3.004066756258752,5.678039567363165e-07,2.954131699472386,6.455591508080414e-07,2.89857181022846,6.898648413622133e-07,1.14063584128892,7.722374456673963e-07,0.7740922355011526,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.860989611310883e-07,0.003356610357333342,3.512984345300139e-07,0.002855817568589845,3.666202427669579e-07,0.002465633283903535,4.045862825783007e-07,0.002228439140307943,4.610318000208512e-07,0.00199090500105975,5.4017754530066e-07,0.001809030328526407,5.707437243630781e-07,0.001681579409422507,6.487859144272338e-07,0.001522466263140879,6.934514340037092e-07,0.00144998390024375,7.750451254710623e-07,0.001328585374738309,3.860989611310883e-07,0.7888622016466809,3.512984345300139e-07,0.4605794571363465,3.666202427669579e-07,1.112101267450171,4.045862825783007e-07,3.0024530811215,4.610318000208512e-07,3.003899987020383,5.4017754530066e-07,3.003853345486313,5.707437243630781e-07,2.975220693243034,6.487859144272338e-07,2.937892555277142,6.934514340037092e-07,1.480919059929706,7.750451254710623e-07,1.035209151226095,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.875973075823796e-07,0.003354940747396515,3.527832336624909e-07,0.002861848852995912,3.68372452212921e-07,0.002490470165776615,4.064546177988397e-07,0.002202376552999665,4.632641964760508e-07,0.002019846385361599,5.42836234683784e-07,0.001839523390489389,5.736823076385797e-07,0.001703269649043095,6.517846508914505e-07,0.001537551190515323,6.972333252444462e-07,0.00146970447606765,7.79289371816235e-07,0.001352182781985944,3.875973075823796e-07,0.788984417409458,3.527832336624909e-07,0.4599885803574391,3.68372452212921e-07,0.8117026132403669,4.064546177988397e-07,3.002346254168882,4.632641964760508e-07,3.003696023675716,5.42836234683784e-07,3.003643958895456,5.736823076385797e-07,2.98877743510611,6.517846508914505e-07,2.963080735975938,6.972333252444462e-07,1.754109940799741,7.79289371816235e-07,1.405392543869399,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.890406585004856e-07,0.003356935429304822,3.545685716255737e-07,0.002846125601372662,3.698503112490318e-07,0.002509070469056398,4.081848183265507e-07,0.002186471403247408,4.651498573453509e-07,0.002029833728098013,5.451938656445974e-07,0.001853087507702057,5.768077089933387e-07,0.001701273005906088,6.549813909140663e-07,0.001564209670394814,7.015902706355552e-07,0.00146746017484889,7.833372930462844e-07,0.00137290278772337,3.890406585004856e-07,0.7894174302617935,3.545685716255737e-07,0.459303758362433,3.698503112490318e-07,0.6480091492998333,4.081848183265507e-07,3.002253590604105,4.651498573453509e-07,3.003535682241114,5.451938656445974e-07,3.003472572102767,5.768077089933387e-07,2.997546033108728,6.549813909140663e-07,2.981150718618804,7.015902706355552e-07,1.98238026784278,7.833372930462844e-07,1.677660588796468,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.907406360868089e-07,0.003358740727299804,3.558980378740233e-07,0.002833205543933139,3.716050508385339e-07,0.002506775275567771,4.100286866021173e-07,0.002195914988816622,4.672672821795477e-07,0.002017982493617052,5.488413803263706e-07,0.001833853046560185,5.803352561508105e-07,0.001672510588195755,6.583762467560646e-07,0.001579758059275916,7.053898133114799e-07,0.001445365419419596,7.879906674313271e-07,0.001377214201676332,3.907406360868089e-07,0.7915654908578631,3.558980378740233e-07,0.4599002083514614,3.716050508385339e-07,0.5100745983615115,4.100286866021173e-07,3.002159608865739,4.672672821795477e-07,3.00336760706824,5.488413803263706e-07,3.003230855910832,5.803352561508105e-07,3.003047369954543,6.583762467560646e-07,2.993180416823957,7.053898133114799e-07,2.131717834003974,7.879906674313271e-07,1.908592930944154,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.924999219861716e-07,0.003356086155909242,3.571986340947672e-07,0.002834494180632042,3.733647620125697e-07,0.002483919311860491,4.119940681008874e-07,0.002225741583934516,4.69523947433967e-07,0.001989840923403703,5.514863715675742e-07,0.001804919835122442,5.832085756757019e-07,0.001649503984428557,6.631751961616698e-07,0.001563818338953822,7.092168988901727e-07,0.001421377724094055,7.919160603319504e-07,0.001362172715109988,3.924999219861716e-07,0.8004159497440889,3.571986340947672e-07,0.464817027502094,3.733647620125697e-07,0.4209646256997395,4.119940681008874e-07,3.002063822685827,4.69523947433967e-07,3.003201284861698,5.514863715675742e-07,3.003071656795505,5.832085756757019e-07,3.005379285457234,6.631751961616698e-07,3.002271745953262,7.092168988901727e-07,2.260082813654109,7.919160603319504e-07,2.056153226298042,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.939492144251533e-07,0.003355034072226695,3.587341318676897e-07,0.002851183806302754,3.74874106657152e-07,0.002465469712288724,4.136362944165775e-07,0.002242175953794318,4.715775185434145e-07,0.001970278828790107,5.540340725677114e-07,0.001792146521156454,5.839281401843909e-07,0.001646637903769681,6.66658674499309e-07,0.001535561872750432,7.128515340904206e-07,0.001418131489121759,7.963764020136596e-07,0.00133568950247919,3.939492144251533e-07,0.8213565240902865,3.587341318676897e-07,0.4901176835523013,3.74874106657152e-07,0.3824118180170749,4.136362944165775e-07,3.001980013372121,4.715775185434145e-07,3.003060426445627,5.540340725677114e-07,3.002929540728157,5.839281401843909e-07,3.005747060415661,6.66658674499309e-07,3.005349627306978,7.128515340904206e-07,2.377800570048417,7.963764020136596e-07,2.196154805792909,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.954346268703131e-07,0.003357473754503146,3.601568988319421e-07,0.002862081148985471,3.763635392089835e-07,0.002465633197798443,4.159161029372602e-07,0.002234146355053153,4.737166297153073e-07,0.001975357648561657,5.56526966925267e-07,0.001809031204145336,5.853672692017689e-07,0.001646629297397903,6.700398061784146e-07,0.001522289040130849,7.166122968595248e-07,0.001440586605671871,8.004071413627574e-07,0.001324707961617544,3.954346268703131e-07,0.8729825787793445,3.601568988319421e-07,0.5500286300980382,3.763635392089835e-07,0.3587051677719578,4.159161029372602e-07,3.001838155624672,4.737166297153073e-07,3.002923278692783,5.56526966925267e-07,3.002800041251082,5.853672692017689e-07,3.006314609135259,6.700398061784146e-07,3.006736340102756,7.166122968595248e-07,2.50244664926195,8.004071413627574e-07,2.317023117519199,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.971454833620823e-07,0.003358537040646803,3.618532088271549e-07,0.002852712776430808,3.781157471872012e-07,0.002490469968723194,4.178753215417776e-07,0.002207353549588468,4.758511647546686e-07,0.002002612202740174,5.591856440014601e-07,0.001839524099583096,5.874985502479014e-07,0.001660369316115721,6.730898001335984e-07,0.001535317659484548,7.203241885222693e-07,0.00146463194670708,8.042547928330226e-07,0.001336808627405074,3.971454833620823e-07,1.002125394713545,3.618532088271549e-07,0.6901905968393697,3.781157471872012e-07,0.3400650552959916,4.178753215417776e-07,3.001690652954977,4.758511647546686e-07,3.002795334398136,5.591856440014601e-07,3.002671383690408,5.874985502479014e-07,3.006818095508988,6.730898001335984e-07,3.007225833243062,7.203241885222693e-07,2.623452058040671,8.042547928330226e-07,2.430292224305287,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3.989286621562367e-07,0.003355598873811735,3.632750981869784e-07,0.002836597987373521,3.795936094305438e-07,0.002509070409009664,4.196946343304638e-07,0.002187726331997215,4.780148087449694e-07,0.002025901231856639,5.61543249299935e-07,0.001853087575132243,5.894260613743362e-07,0.001679809322796366,6.762450065934379e-07,0.001561594792876321,7.240115381608886e-07,0.0014723362582591,8.079998741855228e-07,0.001359316099639424,3.989286621562367e-07,1.24401803781889,3.632750981869784e-07,0.900057351653728,3.795936094305438e-07,0.3292284214473534,4.196946343304638e-07,3.001572627528476,4.780148087449694e-07,3.002673943561978,5.61543249299935e-07,3.002564726048563,5.894260613743362e-07,3.007018632045617,6.762450065934379e-07,3.007289389903193,7.240115381608886e-07,2.72804730628987,8.079998741855228e-07,2.543505700843217,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
