/net1 X,/net1 Y,/w_out X,/w_out Y
2.371000000000006e-07,3.001454703897148,2.371000000000006e-07,0.0267782950311539
2.372000000000006e-07,3.001521253828407,2.372000000000006e-07,0.02786561815171635
2.373000000000006e-07,3.001587803759666,2.373000000000006e-07,0.02895294127227881
2.374000000000006e-07,3.001654353690925,2.374000000000006e-07,0.03004026439284126
2.375000000000006e-07,3.001720903622183,2.375000000000006e-07,0.03112758751340371
2.376000000000006e-07,3.001787453553442,2.376000000000006e-07,0.03221491063396616
2.377000000000006e-07,3.001854003484701,2.377000000000006e-07,0.03330223375452862
2.378000000000006e-07,3.00192055341596,2.378000000000006e-07,0.03438955687509107
2.379000000000006e-07,3.001987103347219,2.379000000000006e-07,0.03547687999565353
2.380000000000006e-07,3.002053653278477,2.380000000000006e-07,0.03656420311621598
2.381000000000006e-07,3.002120203209736,2.381000000000006e-07,0.03765152623677843
