/w_out X,/w_out Y,/net1 X,/net1 Y
9.199999999999961e-08,2.779056704791785,9.199999999999961e-08,-0.03307241177538618
9.20999999999996e-08,2.762016173006058,9.20999999999996e-08,-0.03496986144404562
9.219999999999959e-08,2.737019954880124,9.219999999999959e-08,-0.03709660620552804
9.229999999999959e-08,2.712023736754189,9.229999999999959e-08,-0.03922335096701047
9.239999999999958e-08,2.687027518628255,9.239999999999958e-08,-0.04135009572849289
9.249999999999958e-08,2.662031300502321,9.249999999999958e-08,-0.04347684048997531
9.259999999999957e-08,2.637035082376387,9.259999999999957e-08,-0.04560358525145773
9.269999999999957e-08,2.612038864250452,9.269999999999957e-08,-0.04773033001294015
9.279999999999956e-08,2.587042646124518,9.279999999999956e-08,-0.04985707477442257
9.289999999999955e-08,2.562046427998584,9.289999999999955e-08,-0.05198381953590499
