Total; tran P (inv_lM0=4e-06) X,Total; tran P (inv_lM0=4e-06) Y,Total; tran P (inv_lM0=8e-06) X,Total; tran P (inv_lM0=8e-06) Y,frequency (inv_lM0=4e-06) X,frequency (inv_lM0=4e-06) Y,frequency (inv_lM0=8e-06) X,frequency (inv_lM0=8e-06) Y,/w_out (inv_lM0=4e-06) X,/w_out (inv_lM0=4e-06) Y,/w_out (inv_lM0=8e-06) X,/w_out (inv_lM0=8e-06) Y,/net1 (inv_lM0=4e-06) X,/net1 (inv_lM0=4e-06) Y,/net1 (inv_lM0=8e-06) X,/net1 (inv_lM0=8e-06) Y
2.558738194356343e-07,0.002029309923552966,2.603954224610561e-07,0.001398429109557491,  ,  ,  ,  ,2.558738194356343e-07,2.329758200152181,2.603954224610561e-07,1.788626449210912,2.558738194356343e-07,0.2160860062634956,2.603954224610561e-07,2.508702348122748
2.588937954658748e-07,0.002002909415425765,2.637953551805075e-07,0.001400950299920724,  ,  ,  ,  ,2.588937954658748e-07,1.742568333513717,2.637953551805075e-07,1.943613965542065,2.588937954658748e-07,0.4193090002011026,2.637953551805075e-07,2.218416967829738
2.610360658577803e-07,0.001977098874142537,2.666207486059644e-07,0.001390919720548198,  ,  ,  ,  ,2.610360658577803e-07,1.285385486057464,2.666207486059644e-07,2.047003055986119,2.610360658577803e-07,0.6634100858236548,2.666207486059644e-07,1.90569968620225
2.632007509110626e-07,0.001969096743900024,2.706767297949881e-07,0.001363184714811516,  ,  ,  ,  ,2.632007509110626e-07,0.8870365027654066,2.706767297949881e-07,2.169120227955088,2.632007509110626e-07,1.004626411078888,2.706767297949881e-07,1.387043671642368
2.65359119947882e-07,0.00199068389201513,2.745745317215355e-07,0.001335487291862669,  ,  ,  ,  ,2.65359119947882e-07,0.6126780294041235,2.745745317215355e-07,2.27334208450168,2.65359119947882e-07,1.402359013635147,2.745745317215355e-07,0.9023740398573068
2.675954129137122e-07,0.00201972596482461,2.783257183347268e-07,0.001326944476646267,  ,  ,  ,  ,2.675954129137122e-07,0.4115068753632065,2.783257183347268e-07,2.374678358910355,2.675954129137122e-07,1.73609200108602,2.783257183347268e-07,0.5293114331123366
2.694792372256824e-07,0.002029847770100848,2.822407261954303e-07,0.001342622570896942,  ,  ,  ,  ,2.694792372256824e-07,0.3083090372164025,2.822407261954303e-07,2.488296886277224,2.694792372256824e-07,1.951460099985792,2.822407261954303e-07,0.2835184890854737
2.716002174535774e-07,0.002018122397960963,2.860169981821888e-07,0.001364961983832167,  ,  ,  ,  ,2.716002174535774e-07,0.2515826949827721,2.860169981821888e-07,2.600957764834106,2.716002174535774e-07,2.135267478235156,2.860169981821888e-07,0.1725361573946218
2.738590615382245e-07,0.001989976248755309,2.904536784299421e-07,0.001379531239894815,  ,  ,  ,  ,2.738590615382245e-07,0.2141217209258009,2.904536784299421e-07,2.718027926108226,2.738590615382245e-07,2.282207880767968,2.904536784299421e-07,0.1076435702974952
2.759136986098084e-07,0.001970326520555355,2.945490047039712e-07,0.001372941003402663,  ,  ,  ,  ,2.759136986098084e-07,0.1921839307017405,2.945490047039712e-07,2.806396363887509,2.759136986098084e-07,2.392532951360531,2.945490047039712e-07,0.07650662523919502
2.780512502248285e-07,0.001975258253737091,2.99403793212825e-07,0.001346335888599838,  ,  ,  ,  ,2.780512502248285e-07,0.1774905102455092,2.99403793212825e-07,2.885317521184303,2.780512502248285e-07,2.50188839754018,2.99403793212825e-07,0.05736481247068955
2.801867642443207e-07,0.002002487249974299,3.035103800083493e-07,0.00132674344014804,  ,  ,  ,  ,2.801867642443207e-07,0.1674689615580499,3.035103800083493e-07,2.931602885289055,2.801867642443207e-07,2.605054457628311,3.035103800083493e-07,0.04887975892638911
2.823503904126758e-07,0.002025850512580258,3.074130740397065e-07,0.001328077428892817,  ,  ,  ,  ,2.823503904126758e-07,0.1603545228404016,3.074130740397065e-07,2.961366454136884,2.823503904126758e-07,2.700192829864446,3.074130740397065e-07,0.04395674521475941
2.846852665370105e-07,0.002025433613405885,3.115701798810712e-07,0.001351892285992897,  ,  ,  ,  ,2.846852665370105e-07,0.1550321646127875,3.115701798810712e-07,2.981879940989909,2.846852665370105e-07,2.79097621664131,3.115701798810712e-07,0.04105833308037562
2.873036426532088e-07,0.001996697390603243,3.156729290742931e-07,0.001373657095298114,  ,  ,  ,  ,2.873036426532088e-07,0.150397806320252,3.156729290742931e-07,2.994079827181919,2.873036426532088e-07,2.867600022171983,3.156729290742931e-07,0.03884022604409445
2.894354538489988e-07,0.001973131824892524,3.197125662000194e-07,0.001379132623017066,  ,  ,  ,  ,2.894354538489988e-07,0.1477858869497342,3.197125662000194e-07,3.000977041464842,2.894354538489988e-07,2.911493414027078,3.197125662000194e-07,0.03688508338399371
2.915476421646649e-07,0.001971061408175995,3.239076218782006e-07,0.001365002584486328,  ,  ,  ,  ,2.915476421646649e-07,0.1460071079088527,3.239076218782006e-07,3.004871764803253,2.915476421646649e-07,2.942840848344871,3.239076218782006e-07,0.03549391035637982
2.936958495458727e-07,0.001995864915532411,3.282890340706967e-07,0.001338524169487459,  ,  ,  ,  ,2.936958495458727e-07,0.1447415485707387,3.282890340706967e-07,3.006731951617847,2.936958495458727e-07,2.96517334155098,3.282890340706967e-07,0.03424026028686657
2.958788157980768e-07,0.002022612663247588,3.293071381686203e-07,0.001333061691920984,  ,  ,  ,  ,2.958788157980768e-07,0.1438700174616347,3.293071381686203e-07,3.006948649853977,2.958788157980768e-07,2.980551550024764,3.293071381686203e-07,0.03400633640986044
2.978884441497883e-07,0.002029111832123977,3.313433463644674e-07,0.001325996777254957,  ,  ,  ,  ,2.978884441497883e-07,0.1433390538386662,3.313433463644674e-07,3.007232914193243,2.978884441497883e-07,2.990098245138349,3.313433463644674e-07,0.03357212466023866
3.008736824030867e-07,0.002002609136701162,3.340312361169979e-07,0.001325693382840836,  ,  ,  ,  ,3.008736824030867e-07,0.1428437310517791,3.340312361169979e-07,3.00737288712509,3.008736824030867e-07,2.99880434642232,3.340312361169979e-07,0.03307990939482942
3.030152024146055e-07,0.001976906853226157,3.373997821898551e-07,0.001341184042560149,  ,  ,  ,  ,3.030152024146055e-07,0.142645820594335,3.373997821898551e-07,3.007302560738923,3.030152024146055e-07,3.002287458821052,3.373997821898551e-07,0.03259724374932222
3.051751450166195e-07,0.001969121364339542,3.413388163619855e-07,0.001364954213464808,  ,  ,  ,  ,3.051751450166195e-07,0.1425268355833356,3.413388163619855e-07,3.007021767411643,3.051751450166195e-07,3.004431507253242,3.413388163619855e-07,0.0321838310435808
3.073333676815667e-07,0.001990830453656649,3.449606297462634e-07,0.001378157937184438,  ,  ,  ,  ,3.073333676815667e-07,0.1424549981834603,3.449606297462634e-07,3.006671177551016,3.073333676815667e-07,3.005626976411079,3.449606297462634e-07,0.03191167373166583
3.095669791209247e-07,0.002019807769918967,3.488834655370788e-07,0.001375583887604091,  ,  ,  ,  ,3.095669791209247e-07,0.1424158810630098,3.488834655370788e-07,3.006262428758288,3.095669791209247e-07,3.006226574398484,3.488834655370788e-07,0.03171619592001741
3.114519486903578e-07,0.00202983505756259,3.537174047498817e-07,0.00135186258708088,  ,  ,  ,  ,3.114519486903578e-07,0.1424005525852262,3.537174047498817e-07,3.005763043395921,3.114519486903578e-07,3.006409277303346,3.537174047498817e-07,0.03155268345290856
3.135739304091365e-07,0.002017990219858434,3.578596708646427e-07,0.001329368841861434,  ,  ,  ,  ,3.135739304091365e-07,0.142394668906024,3.578596708646427e-07,3.005361955061587,3.135739304091365e-07,3.006395970367492,3.578596708646427e-07,0.03146400218590222
3.158312688665611e-07,0.001989843822357094,3.618835986807989e-07,0.001326535238287832,  ,  ,  ,  ,3.158312688665611e-07,0.1423970209086138,3.618835986807989e-07,3.005003468230376,3.158312688665611e-07,3.006229331463546,3.618835986807989e-07,0.03140489413114783
3.178857209992096e-07,0.001970274638317991,3.660258713180483e-07,0.001347736638088097,  ,  ,  ,  ,3.178857209992096e-07,0.1424034566542254,3.660258713180483e-07,3.004667437103987,3.178857209992096e-07,3.006002282299357,3.660258713180483e-07,0.0313610197577227
3.200243413773665e-07,0.001975364238135558,3.701227423480315e-07,0.001370662248523642,  ,  ,  ,  ,3.200243413773665e-07,0.1424120056364041,3.701227423480315e-07,3.004366414393067,3.200243413773665e-07,3.005727999077114,3.701227423480315e-07,0.03132800097874015
3.221596860268946e-07,0.00200263229886585,3.743520609764555e-07,0.001379163235335531,  ,  ,  ,  ,3.221596860268946e-07,0.1424215538054408,3.743520609764555e-07,3.004085548938883,3.221596860268946e-07,3.005440954114407,3.743520609764555e-07,0.03130064970771257
3.243233472974729e-07,0.002025911979394439,3.786119750928041e-07,0.001366904924321814,  ,  ,  ,  ,3.243233472974729e-07,0.142431315395196,3.786119750928041e-07,3.003830125151619,3.243233472974729e-07,3.005151718075411,3.786119750928041e-07,0.03127713870010058
3.266673546471992e-07,0.00202529882897696,3.831355099564901e-07,0.001340128083542421,  ,  ,  ,  ,3.266673546471992e-07,0.1424414876969123,3.831355099564901e-07,3.003585396721649,3.266673546471992e-07,3.004850021751068,3.831355099564901e-07,0.03125495512834204
3.292796083709142e-07,0.001996509439989736,3.87223008164118e-07,0.001324863720730143,  ,  ,  ,  ,3.292796083709142e-07,0.1424520001705651,3.87223008164118e-07,3.003385036624563,3.292796083709142e-07,3.004534411472653,3.87223008164118e-07,0.03123678002221599
3.31411354490632e-07,0.001973023028341135,3.909838497048224e-07,0.001331996228655566,  ,  ,  ,  ,3.31411354490632e-07,0.1424598224795033,3.909838497048224e-07,3.003216048012987,3.31411354490632e-07,3.004294864617165,3.909838497048224e-07,0.03122107688291715
3.33523013858247e-07,0.0019711604765869,3.949411925345905e-07,0.001355794031305955,  ,  ,  ,  ,3.33523013858247e-07,0.1424668793332693,3.949411925345905e-07,3.003052357878314,3.33523013858247e-07,3.004073693050048,3.949411925345905e-07,0.03120554303865182
3.356709554273175e-07,0.001996057436994627,3.991552000593202e-07,0.001375731198625943,  ,  ,  ,  ,3.356709554273175e-07,0.1424733945305449,3.991552000593202e-07,3.00289227958238,3.356709554273175e-07,3.003864710187686,3.991552000593202e-07,0.03118990538161861
3.378527660049743e-07,0.002022714178985211,4.038900445426629e-07,0.001375936695421437,  ,  ,  ,  ,3.378527660049743e-07,0.1424796407396939,4.038900445426629e-07,3.002727897459439,3.378527660049743e-07,3.003667915896149,4.038900445426629e-07,0.03117336062866412
3.398697493306213e-07,0.002029053930628397,4.080861782493604e-07,0.001356541004121138,  ,  ,  ,  ,3.398697493306213e-07,0.1424848879225099,4.080861782493604e-07,3.002594353729716,3.398697493306213e-07,3.003498702821906,4.080861782493604e-07,0.03115949367056497
