Total; tran P X,Total; tran P Y,/w_out X,/w_out Y,/net1 X,/net1 Y,freq X,freq Y
6.791884556232424e-08,0.0009429920456438201,6.791884556232424e-08,2.999978798884062,6.791884556232424e-08,0.005595325853421957,  ,  
6.850628041671581e-08,0.0009429758206170576,6.850628041671581e-08,2.999987715760223,6.850628041671581e-08,0.005598234898363963,  ,  
6.917976312041029e-08,0.0009509557602214139,6.917976312041029e-08,2.999993734777609,6.917976312041029e-08,0.005596620690295373,  ,  
6.999641170635293e-08,0.000974533699514672,6.999641170635293e-08,2.999983852221902,6.999641170635293e-08,0.005589663414558561,  ,  
7.088723164427982e-08,0.001008267721285668,7.088723164427982e-08,2.999987552888739,7.088723164427982e-08,0.005589696691966808,  ,  
7.192676756004371e-08,0.001039896232001667,7.192676756004371e-08,3.000000525476371,7.192676756004371e-08,0.005589290408783172,  ,  
7.343133561202174e-08,0.001042611743081219,7.343133561202174e-08,3.000001614636898,7.343133561202174e-08,0.005582283784528554,  ,  
7.462423052533115e-08,0.001011171676951315,7.462423052533115e-08,3.000036830193946,7.462423052533115e-08,0.005587401947791035,  ,  
7.566320840123974e-08,0.0009819404535203666,7.566320840123974e-08,3.000125496133044,7.566320840123974e-08,0.005598607472708252,  ,  
7.648140906879e-08,0.000964357105151459,7.648140906879e-08,3.00023713925273,7.648140906879e-08,0.00560811582038241,  ,  
7.746290428498308e-08,0.0009491986118844637,7.746290428498308e-08,3.000279819362391,7.746290428498308e-08,0.005585735285221602,  ,  
7.773841331495129e-08,0.0009461209592446457,7.773841331495129e-08,3.000193955460801,7.773841331495129e-08,0.005549447480629601,  ,  
7.828943137488771e-08,0.000943008300302229,7.828943137488771e-08,2.999772622529899,7.828943137488771e-08,0.005436338008635475,  ,  
7.887676539915016e-08,0.0009429572332992471,7.887676539915016e-08,2.999511863261459,7.887676539915016e-08,0.005448491019317685,  ,  
7.95541880598969e-08,0.0009509318775576698,7.95541880598969e-08,2.999279527919079,7.95541880598969e-08,0.005475139483459739,  ,  
8.037063204447967e-08,0.0009744862342385599,8.037063204447967e-08,2.998571512615484,8.037063204447967e-08,0.005376759266422132,  ,  
8.126302433569058e-08,0.001008277898632835,8.126302433569058e-08,2.997717238156461,8.126302433569058e-08,0.00534356202605465,  ,  
8.23011157469015e-08,0.001039872772062664,8.23011157469015e-08,2.997029888003522,8.23011157469015e-08,0.005421185159256765,  ,  
8.38059185101136e-08,0.001042628286121259,8.38059185101136e-08,2.99617416903551,8.38059185101136e-08,0.005472387988629408,  ,  
8.499865500839198e-08,0.001011203900687693,8.499865500839198e-08,2.997285191969409,8.499865500839198e-08,0.005866591651810833,  ,  
8.603785940406739e-08,0.00098196094836058,8.603785940406739e-08,3.003193433103208,8.603785940406739e-08,0.00700432054479539,  ,  
8.685607650022094e-08,0.0009643713157760823,8.685607650022094e-08,3.014252777209067,8.685607650022094e-08,0.008679208999542011,  ,  
8.783762032974752e-08,0.0009492082246512057,8.783762032974752e-08,3.034229698388379,8.783762032974752e-08,0.01048302069678013,  ,  
8.811326130001551e-08,0.0009461265308187496,8.811326130001551e-08,3.039196852416186,8.811326130001551e-08,0.01027353986427338,  ,  
8.82510817851495e-08,0.0009450152778301258,8.82510817851495e-08,3.040606159492281,8.82510817851495e-08,0.009770987578622414,  ,  
8.85267227554175e-08,0.0009435309358804514,8.85267227554175e-08,3.040593568593663,8.85267227554175e-08,0.008031409730108364,  ,  
8.906098559537343e-08,0.0009425397968473707,8.906098559537343e-08,3.03601538329479,8.906098559537343e-08,0.004826361778194866,  ,  
8.959278704536765e-08,0.000945642253041492,8.959278704536765e-08,3.026731072094885,8.959278704536765e-08,0.002149168598549252,  ,  
9.030287352738173e-08,0.0009603482492244548,9.030287352738173e-08,2.99535224348136,9.030287352738173e-08,-0.004278919247398789,  ,  
