/Z (Vbias=5) X,/Z (Vbias=5) Y,/Z (Vbias=6) X,/Z (Vbias=6) Y,/Z (Vbias=7) X,/Z (Vbias=7) Y,/Z (Vbias=8) X,/Z (Vbias=8) Y,/Z (Vbias=9) X,/Z (Vbias=9) Y,/Z (Vbias=10) X,/Z (Vbias=10) Y,/Z (Vbias=11) X,/Z (Vbias=11) Y,/Z (Vbias=12) X,/Z (Vbias=12) Y,/w_B (Vbias=5) X,/w_B (Vbias=5) Y,/w_B (Vbias=6) X,/w_B (Vbias=6) Y,/w_B (Vbias=7) X,/w_B (Vbias=7) Y,/w_B (Vbias=8) X,/w_B (Vbias=8) Y,/w_B (Vbias=9) X,/w_B (Vbias=9) Y,/w_B (Vbias=10) X,/w_B (Vbias=10) Y,/w_B (Vbias=11) X,/w_B (Vbias=11) Y,/w_B (Vbias=12) X,/w_B (Vbias=12) Y,/w_A (Vbias=5) X,/w_A (Vbias=5) Y,/w_A (Vbias=6) X,/w_A (Vbias=6) Y,/w_A (Vbias=7) X,/w_A (Vbias=7) Y,/w_A (Vbias=8) X,/w_A (Vbias=8) Y,/w_A (Vbias=9) X,/w_A (Vbias=9) Y,/w_A (Vbias=10) X,/w_A (Vbias=10) Y,/w_A (Vbias=11) X,/w_A (Vbias=11) Y,/w_A (Vbias=12) X,/w_A (Vbias=12) Y
2.72426364240153e-09,6.570800305950963,2.740943413982803e-09,5.339797424220734,2.749946911609519e-09,4.88546803246232,2.721568627842446e-09,4.844405273353893,3.020541342326336e-09,4.615196692069341,2.719119814839543e-09,4.83425973066799,3.018219236793248e-09,4.717538341709865,3.025710398142743e-09,4.748408280092594,2.72426364240153e-09,5,2.740943413982803e-09,5,2.749946911609519e-09,5,2.721568627842446e-09,5,3.020541342326336e-09,5,2.719119814839543e-09,5,3.018219236793248e-09,5,3.025710398142743e-09,5,2.72426364240153e-09,2.72426364240153,2.740943413982803e-09,2.740943413982803,2.749946911609519e-09,2.749946911609519,2.721568627842446e-09,2.721568627842446,3.020541342326336e-09,3.020541342326336,2.719119814839543e-09,2.719119814839543,3.018219236793248e-09,3.018219236793248,3.025710398142743e-09,3.025710398142742
2.844090979505179e-09,6.294592885799542,2.879792269389052e-09,5.074839804568457,2.895160976367548e-09,4.694666874983304,2.850764377363101e-09,4.716252642874466,3.381491465072685e-09,4.3604180417133,2.846212045526324e-09,4.760623637303556,3.378236976157305e-09,4.561335239434169,3.392079714249424e-09,4.615971499900528,2.844090979505179e-09,5,2.879792269389052e-09,5,2.895160976367548e-09,5,2.850764377363101e-09,5,3.381491465072685e-09,5,2.846212045526324e-09,5,3.378236976157305e-09,5,3.392079714249424e-09,5,2.844090979505179e-09,2.844090979505179,2.879792269389052e-09,2.879792269389052,2.895160976367548e-09,2.895160976367547,2.850764377363101e-09,2.850764377363101,3.381491465072685e-09,3.381491465072685,2.846212045526324e-09,2.846212045526324,3.378236976157305e-09,3.378236976157305,3.392079714249424e-09,3.392079714249424
2.904004648057003e-09,6.15129066282354,3.157489980201551e-09,4.525909784457929,3.185589105883604e-09,4.312354196039599,3.10915587640441e-09,4.481936087437375,3.677747420952816e-09,4.116839359395686,3.100396506899885e-09,4.633925275106662,3.669314882682172e-09,4.417490941227973,3.688199897671324e-09,4.493271709161454,2.904004648057003e-09,5,3.157489980201551e-09,5,3.185589105883604e-09,5,3.10915587640441e-09,5,3.677747420952816e-09,5,3.100396506899885e-09,5,3.669314882682172e-09,5,3.688199897671324e-09,5,2.904004648057003e-09,2.904004648057003,3.157489980201551e-09,3.157489980201551,3.185589105883604e-09,3.185589105883604,3.10915587640441e-09,3.109155876404409,3.677747420952816e-09,3.677747420952815,3.100396506899885e-09,3.100396506899885,3.669314882682172e-09,3.669314882682172,3.688199897671324e-09,3.688199897671324
3.023831985160652e-09,5.857392211919495,3.456235010668282e-09,3.878741039327339,3.465597686318962e-09,3.913236482463151,3.368978123101212e-09,4.227993954386935,4.247413394173117e-09,3.508330713312845,3.337508513566212e-09,4.505864900207873,4.186433228143195e-09,4.101755410305163,4.243830213261317e-09,4.215423459956473,3.023831985160652e-09,5,3.456235010668282e-09,5,3.465597686318962e-09,5,3.368978123101212e-09,5,4.247413394173117e-09,5,3.337508513566212e-09,5,4.186433228143195e-09,5,4.243830213261317e-09,5,3.023831985160652e-09,3.023831985160652,3.456235010668282e-09,3.456235010668282,3.465597686318962e-09,3.465597686318962,3.368978123101212e-09,3.368978123101211,4.247413394173117e-09,4.247413394173116,3.337508513566212e-09,3.337508513566211,4.186433228143195e-09,4.186433228143195,4.243830213261317e-09,4.243830213261317
3.083745653712476e-09,5.705277590950696,3.873774895483713e-09,2.941385186771311,3.881602228859648e-09,3.231423741878325,3.705315835243336e-09,3.842573182650236,4.623706697086559e-09,3.019389488448158,3.705890917099254e-09,4.274008247506057,4.593216614071598e-09,3.790612599685476,4.621915106630658e-09,3.989593481324173,3.083745653712476e-09,5,3.873774895483713e-09,5,3.881602228859648e-09,5,3.705315835243336e-09,5,4.623706697086559e-09,5,3.705890917099254e-09,5,4.593216614071598e-09,5,4.621915106630658e-09,5,3.083745653712476e-09,3.083745653712477,3.873774895483713e-09,3.873774895483713,3.881602228859648e-09,3.881602228859647,3.705315835243336e-09,3.705315835243336,4.623706697086559e-09,4.623706697086559,3.705890917099254e-09,3.705890917099254,4.593216614071598e-09,4.593216614071598,4.621915106630658e-09,4.621915106630659
3.203572990816125e-09,5.361006805159372,4.238545496607004e-09,2.183391222552518,4.423316604185803e-09,2.291885929356627,4.201044330300954e-09,3.14895029904566,5e-09,2.547071679392106,4.250506183542408e-09,3.832531627846298,5e-09,3.459023957383716,5e-09,3.756631054781116,3.203572990816125e-09,5,4.238545496607004e-09,5,4.423316604185803e-09,5,4.201044330300954e-09,5,5e-09,5,4.250506183542408e-09,5,5e-09,5,5e-09,5,3.203572990816125e-09,3.203572990816125,4.238545496607004e-09,4.238545496607005,4.423316604185803e-09,4.423316604185803,4.201044330300954e-09,4.201044330300954,5e-09,5,4.250506183542408e-09,4.250506183542409,5e-09,5,5e-09,5
3.340458427358151e-09,4.902708782597304,4.621103438031205e-09,1.542286001870345,4.711658302092901e-09,1.850294288747315,4.600522165150477e-09,2.536974458133411,5.16013929567612e-09,2.363683632396255,5e-09,3.069598779455605,5.170372858254699e-09,3.312725516253963,5.16805841557698e-09,3.645874543883619,3.340458427358151e-09,5,4.621103438031205e-09,5,4.711658302092901e-09,5,4.600522165150477e-09,5,5.16013929567612e-09,5,5e-09,5,5.170372858254699e-09,5,5.16805841557698e-09,5,3.340458427358151e-09,3.340458427358151,4.621103438031205e-09,4.621103438031205,4.711658302092901e-09,4.711658302092901,4.600522165150477e-09,4.600522165150477,5.16013929567612e-09,5,5e-09,5,5.170372858254699e-09,5,5.16805841557698e-09,5
3.393442807896976e-09,4.717840946644029,4.810551719015602e-09,1.294165924355665,5e-09,1.496325803418358,5e-09,2.004595417002996,5.384847553602628e-09,2.128992251490843,5.211402166695278e-09,2.851339861121592,5.409281841293988e-09,3.119402580895539,5.397765191934407e-09,3.502394297749172,3.393442807896976e-09,5,4.810551719015602e-09,5,5e-09,5,5e-09,5,5.384847553602628e-09,5,5.211402166695278e-09,5,5.409281841293988e-09,5,5.397765191934407e-09,5,3.393442807896976e-09,3.393442807896976,4.810551719015602e-09,4.810551719015602,5e-09,5,5e-09,5,5.384847553602628e-09,5,5.211402166695278e-09,5,5.409281841293988e-09,5,5.397765191934407e-09,5
3.499411568974625e-09,4.346186102784251,5e-09,1.090265663619404,5.133623376975886e-09,1.35912305264085,5.152228094786674e-09,1.834236636730627,5.596355774723748e-09,1.957624983277171,5.53768832965412e-09,2.556658024586461,5.633748212798072e-09,2.974048670504668,5.614455758754465e-09,3.394549222030617,3.499411568974625e-09,5,5e-09,5,5.133623376975886e-09,5,5.152228094786674e-09,5,5.596355774723748e-09,5,5.53768832965412e-09,5,5.633748212798072e-09,5,5.614455758754465e-09,5,3.499411568974625e-09,3.499411568974625,5e-09,5,5.133623376975886e-09,5,5.152228094786674e-09,5,5.596355774723748e-09,5,5.53768832965412e-09,5,5.633748212798072e-09,5,5.614455758754465e-09,5
3.698434772535793e-09,3.708923618531845,5.116580474276886e-09,0.9813338068186227,5.311121961851876e-09,1.190392064266975,5.37441964670444e-09,1.609878231698362,5.934674625900844e-09,1.783153069461912,5.847371300186585e-09,2.367667006506113,5.978019899227591e-09,2.830677000423989,5.957830322216628e-09,3.286901151883087,3.698434772535793e-09,5,5.116580474276886e-09,5,5.311121961851876e-09,5,5.37441964670444e-09,5,5.934674625900844e-09,5,5.847371300186585e-09,5,5.978019899227591e-09,5,5.957830322216628e-09,5,3.698434772535793e-09,3.698434772535793,5.116580474276886e-09,5,5.311121961851876e-09,5,5.37441964670444e-09,5,5.934674625900844e-09,5,5.847371300186585e-09,5,5.978019899227591e-09,5,5.957830322216628e-09,5
3.87530040730154e-09,3.202902307253753,5.25298889251935e-09,0.8602821229420595,5.478860889905576e-09,1.060871827814362,5.58184756578585e-09,1.450084619384532,6.319706042182894e-09,1.680535183596153,6.24985983645351e-09,2.236270640493974,6.374879425944479e-09,2.74270040554851,6.347165981844102e-09,3.222330954862417,3.87530040730154e-09,5,5.25298889251935e-09,5,5.478860889905576e-09,5,5.58184756578585e-09,5,6.319706042182894e-09,5,6.24985983645351e-09,5,6.374879425944479e-09,5,6.347165981844102e-09,5,3.87530040730154e-09,3.87530040730154,5.25298889251935e-09,5,5.478860889905576e-09,5,5.58184756578585e-09,5,6.319706042182894e-09,5,6.24985983645351e-09,5,6.374879425944479e-09,5,6.347165981844102e-09,5
