/Z (w23=1e-05) X,/Z (w23=1e-05) Y,/Z (w23=2e-05) X,/Z (w23=2e-05) Y,/Z (w23=3e-05) X,/Z (w23=3e-05) Y,/w_A (w23=1e-05) X,/w_A (w23=1e-05) Y,/w_A (w23=2e-05) X,/w_A (w23=2e-05) Y,/w_A (w23=3e-05) X,/w_A (w23=3e-05) Y,/w_B (w23=1e-05) X,/w_B (w23=1e-05) Y,/w_B (w23=2e-05) X,/w_B (w23=2e-05) Y,/w_B (w23=3e-05) X,/w_B (w23=3e-05) Y
3.03368548858534e-09,3.581968861747141,3.042165414077635e-09,3.502570032217904,3.045664739900759e-09,3.45827461433173,3.03368548858534e-09,1.820211293151204,3.042165414077635e-09,1.825299248446581,3.045664739900759e-09,1.827398843940455,3.03368548858534e-09,3,3.042165414077635e-09,3,3.045664739900759e-09,3
3.400732379325786e-09,3.323558742635847,3.41673535904262e-09,3.24477890292889,3.423607153990372e-09,3.202645294132032,3.400732379325786e-09,2.040439427595471,3.41673535904262e-09,2.050041215425572,3.423607153990372e-09,2.054164292394223,3.400732379325786e-09,3,3.41673535904262e-09,3,3.423607153990372e-09,3
3.873665880804799e-09,3.009388593510132,3.863491385220675e-09,2.960856872395241,3.855829217804087e-09,2.935252095882778,3.873665880804799e-09,2.324199528482879,3.863491385220675e-09,2.318094831132405,3.855829217804087e-09,2.313497530682452,3.873665880804799e-09,3,3.863491385220675e-09,3,3.855829217804087e-09,3
4.37943139387457e-09,2.63690500057296,4.352854091005178e-09,2.613694139150103,4.335822300449108e-09,2.602574148293024,4.37943139387457e-09,2.627658836324742,4.352854091005178e-09,2.611712454603107,4.335822300449108e-09,2.601493380269465,4.37943139387457e-09,3,4.352854091005178e-09,3,4.335822300449108e-09,3
4.689715696937285e-09,2.3775102937747,4.676427045502589e-09,2.348370885016645,4.667911150224555e-09,2.33316059220923,4.689715696937285e-09,2.813829418162371,4.676427045502589e-09,2.805856227301553,4.667911150224555e-09,2.800746690134733,4.689715696937285e-09,3,4.676427045502589e-09,3,4.667911150224555e-09,3
5e-09,2.100690476935673,5e-09,2.057867937956248,5e-09,2.033288550434385,5e-09,3,5e-09,3,5e-09,3,5e-09,3,5e-09,3,5e-09,3
5.193518636806542e-09,1.91738363014481,5.202505714747061e-09,1.859854280274131,5.208309664967688e-09,1.823329876214725,5.193518636806542e-09,3,5.202505714747061e-09,3,5.208309664967688e-09,3,5.193518636806542e-09,3,5.202505714747061e-09,3,5.208309664967688e-09,3
5.419565285570686e-09,1.709681269065946,5.438947143080415e-09,1.633875655748723,5.451458135277852e-09,1.583255694514126,5.419565285570686e-09,3,5.438947143080415e-09,3,5.451458135277852e-09,3,5.419565285570686e-09,3,5.438947143080415e-09,3,5.451458135277852e-09,3
5.637529675168847e-09,1.514578589075869,5.667013053611732e-09,1.419032466637576,5.686046701507186e-09,1.355716236135998,5.637529675168847e-09,3,5.667013053611732e-09,3,5.686046701507186e-09,3,5.637529675168847e-09,3,5.667013053611732e-09,3,5.686046701507186e-09,3
5.958156335879515e-09,1.259998886736199,6.002323326378294e-09,1.139493576424113,6.074772913162429e-09,1.028159762697134,5.958156335879515e-09,3,6.002323326378294e-09,3,6.074772913162429e-09,3,5.958156335879515e-09,3,6.002323326378294e-09,3,6.074772913162429e-09,3
6.34935999700148e-09,1.010755020099376,6.340420588414706e-09,0.9094876882591679,6.42871240203549e-09,0.7924823254797457,6.34935999700148e-09,3,6.340420588414706e-09,3,6.42871240203549e-09,3,6.34935999700148e-09,3,6.340420588414706e-09,3,6.42871240203549e-09,3
6.841312434385224e-09,0.7829189671557782,6.82254199292446e-09,0.666537973098121,6.914536906424162e-09,0.5588514076812434,6.841312434385224e-09,3,6.82254199292446e-09,3,6.914536906424162e-09,3,6.841312434385224e-09,3,6.82254199292446e-09,3,6.914536906424162e-09,3
7.552421012313848e-09,0.5730665433344156,7.461145308849797e-09,0.4592317091141858,7.62486693362567e-09,0.3482601797207826,7.552421012313848e-09,3,7.461145308849797e-09,3,7.62486693362567e-09,3,7.552421012313848e-09,3,7.461145308849797e-09,3,7.62486693362567e-09,3
8.329749069098278e-09,0.4466173427990801,8.23871938981475e-09,0.3182448983236967,8.292811761710401e-09,0.2406352838021013,8.329749069098278e-09,3,8.23871938981475e-09,3,8.292811761710401e-09,3,8.329749069098278e-09,3,8.23871938981475e-09,3,8.292811761710401e-09,3
9.169785432984419e-09,0.3769966402239801,8.912766945232192e-09,0.2549694251358465,8.928788277942045e-09,0.183360577529627,9.169785432984419e-09,3,8.912766945232192e-09,3,8.928788277942045e-09,3,9.169785432984419e-09,3,8.912766945232192e-09,3,8.928788277942045e-09,3
9.991631644366654e-09,0.3448638744139905,9.633659280671621e-09,0.2186010005236607,9.616022201528405e-09,0.1492215705487184,9.991631644366654e-09,3,9.633659280671621e-09,3,9.616022201528405e-09,3,9.991631644366654e-09,3,9.633659280671621e-09,3,9.616022201528405e-09,3
1.094610414342317e-08,0.3281801664346847,1.045593705360993e-08,0.1981923233291963,1.046384852988946e-08,0.1279145162376544,1.094610414342317e-08,3,1.045593705360993e-08,3,1.046384852988946e-08,3,1.094610414342317e-08,3,1.045593705360993e-08,3,1.046384852988946e-08,3
1.213367479106811e-08,0.3207469543091608,1.156238864941549e-08,0.1867609188422385,1.157435655336012e-08,0.1163692708111379,1.213367479106811e-08,3,1.156238864941549e-08,3,1.157435655336012e-08,3,1.213367479106811e-08,3,1.156238864941549e-08,3,1.157435655336012e-08,3
